business_id,BP,KC,PG,BT,DIST,SUB,business_class,class_name,target
01010102,1,1,1,2,0.0,0.0,1,登录,0
042E0100,4,214,1,0,213.0305,5.853,2,检索提取,1
042E0115,4,214,1,15,15.0,27.257,2,检索提取,4
042E0115,4,214,1,15,0.0,16.992,2,检索提取,4
042E0118,4,214,1,18,3.0,1.565,2,检索提取,0
042E0115,4,214,1,15,3.0,13.594,2,检索提取,0
042E0118,4,214,1,18,3.0,1.579,2,检索提取,0
042E0115,4,214,1,15,3.0,9.873,2,检索提取,0
042E0118,4,214,1,18,3.0,1.554,2,检索提取,0
040O0200,4,24,2,0,190.8533,8.418,4,值机接收,1
040O0211,4,24,2,11,11.0,1.421,4,值机接收,0
040O0204,4,24,2,4,7.0,8.779,4,值机接收,0
040O0280,4,24,2,80,76.0,4.292,15,客票详情,2
040O0200,4,24,2,0,80.0,3.373,4,值机接收,2
040O0285,4,24,2,85,85.0,2.206,22,证件校验,2
042F0801,4,215,8,1,208.7415,2.561,22,证件校验,1
042F0801,4,215,8,1,0.0,5.535,22,证件校验,0
042F0801,4,215,8,1,0.0,4.825,22,证件校验,0
042F0801,4,215,8,1,0.0,4.561,22,证件校验,0
040O0200,4,24,2,0,191.0968,4.128,4,值机接收,1
040O0212,4,24,2,12,12.0,3.614,4,值机接收,0
040O0204,4,24,2,4,8.0,6.19,4,值机接收,0
040O0238,4,24,2,38,34.0,19.386,9,重打牌,3
040O0238,4,24,2,38,0.0,0.569,9,重打牌,0
040O0280,4,24,2,80,42.0,3.783,15,客票详情,3
040O0200,4,24,2,0,80.0,3.603,4,值机接收,2
040O0238,4,24,2,38,38.0,10.445,9,重打牌,3
040O0238,4,24,2,38,0.0,0.55,9,重打牌,0
040O0238,4,24,2,38,0.0,11.849,9,重打牌,0
040O0238,4,24,2,38,0.0,0.63,9,重打牌,0
042E0121,4,214,1,21,190.7616,54.452,5,结束,1
042E0117,4,214,1,17,4.0,1.989,5,结束,0
042E0115,4,214,1,15,2.0,7.745,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.661,4,值机接收,1
040O0211,4,24,2,11,11.0,0.647,4,值机接收,0
040O0204,4,24,2,4,7.0,0.4,4,值机接收,0
042E0121,4,214,1,21,190.7616,7.885,5,结束,1
042E0117,4,214,1,17,4.0,0.333,5,结束,0
042E0102,4,214,1,2,15.0,3.313,2,检索提取,0
042E0102,4,214,1,2,0.0,13.061,2,检索提取,0
042E0117,4,214,1,17,15.0,7.183,5,结束,0
042E0117,4,214,1,17,0.0,0.351,5,结束,0
042E0117,4,214,1,17,0.0,0.22,5,结束,0
042E0115,4,214,1,15,2.0,1.998,2,检索提取,0
042E0115,4,214,1,15,0.0,5.224,2,检索提取,0
042E0118,4,214,1,18,3.0,1.312,2,检索提取,0
040O0200,4,24,2,0,190.8533,2.909,4,值机接收,1
040O0211,4,24,2,11,11.0,0.652,4,值机接收,0
040O0204,4,24,2,4,7.0,0.468,4,值机接收,0
040O0212,4,24,2,12,8.0,5.711,4,值机接收,0
040O0204,4,24,2,4,8.0,0.765,4,值机接收,0
040O0204,4,24,2,4,0.0,3.891,4,值机接收,0
040O0204,4,24,2,4,0.0,0.306,4,值机接收,0
042E0121,4,214,1,21,190.7616,50.376,5,结束,1
042E0117,4,214,1,17,4.0,0.468,5,结束,0
042E0115,4,214,1,15,2.0,43.789,2,检索提取,4
040O0200,4,24,2,0,190.5938,7.113,4,值机接收,1
040O0211,4,24,2,11,11.0,0.55,4,值机接收,0
040O0204,4,24,2,4,7.0,14.011,4,值机接收,0
040O0204,4,24,2,4,0.0,0.298,4,值机接收,0
040O0238,4,24,2,38,34.0,7.448,9,重打牌,3
040O0238,4,24,2,38,0.0,0.52,9,重打牌,0
042E0121,4,214,1,21,190.7616,19.944,5,结束,1
042E0106,4,214,1,6,15.0,0.894,10,旅客详情,0
042E0117,4,214,1,17,11.0,2.013,5,结束,0
042E0117,4,214,1,17,0.0,0.256,5,结束,0
