business_id,business_label,BP,KC,PG,BT,DIST,SUB,business_class,class_name
01010102,0,01,1,01,02,0.0,0.0,01,登录
042E0100,0,04,16,01,00,15.4272,5.853,02,检索提取
042E0115,1,04,16,01,15,15.0,27.257,02,检索提取
042E0115,1,04,16,01,15,0.0,16.992,02,检索提取
042E0118,0,04,16,01,18,3.0,1.565,02,检索提取
042E0115,1,04,16,01,15,3.0,13.594,02,检索提取
042E0118,0,04,16,01,18,3.0,1.579,02,检索提取
042E0115,1,04,16,01,15,3.0,9.873,02,检索提取
042E0118,0,04,16,01,18,3.0,1.554,02,检索提取
040O0200,0,04,24,02,00,19.7231,8.418,04,值机接收
040O0211,0,04,24,02,11,11.0,1.421,04,值机接收
040O0204,0,04,24,02,04,7.0,8.779,04,值机接收
040O0280,0,04,24,02,80,76.0,4.292,15,客票详情
040O0200,0,04,24,02,00,80.0,3.373,04,值机接收
040O0285,0,04,24,02,85,85.0,2.206,22,证件校验
042F0801,0,04,17,08,01,84.5044,2.561,22,证件校验
042F0801,0,04,17,08,01,0.0,5.535,22,证件校验
042F0801,0,04,17,08,01,0.0,4.825,22,证件校验
042F0801,0,04,17,08,01,0.0,4.561,22,证件校验
040O0200,0,04,24,02,00,9.2736,4.128,04,值机接收
040O0212,0,04,24,02,12,12.0,3.614,04,值机接收
040O0204,0,04,24,02,04,8.0,6.19,04,值机接收
040O0238,0,04,24,02,38,34.0,19.386,09,重打牌
040O0238,0,04,24,02,38,0.0,0.569,09,重打牌
040O0280,0,04,24,02,80,42.0,3.783,15,客票详情
040O0200,0,04,24,02,00,80.0,3.603,04,值机接收
040O0238,0,04,24,02,38,38.0,10.445,09,重打牌
040O0238,0,04,24,02,38,0.0,0.55,09,重打牌
040O0238,0,04,24,02,38,0.0,11.849,09,重打牌
040O0238,0,04,24,02,38,0.0,0.63,09,重打牌
042E0121,0,04,16,01,21,18.8149,54.452,79,返回
042E0117,-1,04,16,01,17,4.0,1.989,05,结束
042E0115,1,04,16,01,15,2.0,7.745,02,检索提取
040O0200,0,04,24,02,00,17.0294,1.661,04,值机接收
040O0211,0,04,24,02,11,11.0,0.647,04,值机接收
040O0204,0,04,24,02,04,7.0,0.4,04,值机接收
042E0121,0,04,16,01,21,18.8149,7.885,79,返回
042E0117,-1,04,16,01,17,4.0,0.333,05,结束
042E0102,1,04,16,01,02,15.0,3.313,02,检索提取
042E0102,1,04,16,01,02,0.0,13.061,02,检索提取
042E0117,-1,04,16,01,17,15.0,7.183,05,结束
042E0117,-1,04,16,01,17,0.0,0.351,05,结束
042E0117,-1,04,16,01,17,0.0,0.22,05,结束
042E0115,1,04,16,01,15,2.0,1.998,02,检索提取
042E0115,1,04,16,01,15,0.0,5.224,02,检索提取
042E0118,0,04,16,01,18,3.0,1.312,02,检索提取
040O0200,0,04,24,02,00,19.7231,2.909,04,值机接收
040O0211,0,04,24,02,11,11.0,0.652,04,值机接收
040O0204,0,04,24,02,04,7.0,0.468,04,值机接收
040O0212,0,04,24,02,12,8.0,5.711,04,值机接收
040O0204,0,04,24,02,04,8.0,0.765,04,值机接收
040O0204,0,04,24,02,04,0.0,3.891,04,值机接收
040O0204,0,04,24,02,04,0.0,0.306,04,值机接收
042E0121,0,04,16,01,21,18.8149,50.376,79,返回
042E0117,-1,04,16,01,17,4.0,0.468,05,结束
042E0115,1,04,16,01,15,2.0,43.789,02,检索提取
040O0200,0,04,24,02,00,17.0294,7.113,04,值机接收
040O0211,0,04,24,02,11,11.0,0.55,04,值机接收
040O0204,0,04,24,02,04,7.0,14.011,04,值机接收
040O0204,0,04,24,02,04,0.0,0.298,04,值机接收
040O0238,0,04,24,02,38,34.0,7.448,09,重打牌
040O0238,0,04,24,02,38,0.0,0.52,09,重打牌
042E0121,0,04,16,01,21,18.8149,19.944,79,返回
042E0106,0,04,16,01,06,15.0,0.894,10,旅客详情
042E0117,-1,04,16,01,17,11.0,2.013,05,结束
042E0117,-1,04,16,01,17,0.0,0.256,05,结束
042E0117,-1,04,16,01,17,0.0,0.181,05,结束
042E0115,1,04,16,01,15,2.0,25.031,02,检索提取
042E0146,0,04,16,01,46,31.0,3.397,09,重打牌
042E0146,0,04,16,01,46,0.0,0.535,09,重打牌
040O0200,0,04,24,02,00,46.7012,0.745,04,值机接收
040O0211,0,04,24,02,11,11.0,0.437,04,值机接收
040O0212,0,04,24,02,12,1.0,2.027,04,值机接收
040O0204,0,04,24,02,04,8.0,4.179,04,值机接收
042E0121,0,04,16,01,21,18.8149,8.327,79,返回
042E0117,-1,04,16,01,17,4.0,0.149,05,结束
042E0117,-1,04,16,01,17,0.0,0.199,05,结束
042E0115,1,04,16,01,15,2.0,9.322,02,检索提取
042E0146,0,04,16,01,46,31.0,1.855,09,重打牌
042E0146,0,04,16,01,46,0.0,0.476,09,重打牌
040O0200,0,04,24,02,00,46.7012,0.516,04,值机接收
040O0211,0,04,24,02,11,11.0,0.467,04,值机接收
040O0204,0,04,24,02,04,7.0,5.937,04,值机接收
042E0121,0,04,16,01,21,18.8149,20.74,79,返回
