business_id,business_label,BP,KC,PG,BT,SUB,business_class,class_name
01010102,0,01,01,01,02,0.0,01,登录
042E0100,0,04,2E,01,00,5.853,02,检索提取
042E0115,1,04,2E,01,15,27.257,02,检索提取
042E0115,1,04,2E,01,15,16.992,02,检索提取
042E0118,0,04,2E,01,18,1.565,02,检索提取
042E0115,1,04,2E,01,15,13.594,02,检索提取
042E0118,0,04,2E,01,18,1.579,02,检索提取
042E0115,1,04,2E,01,15,9.873,02,检索提取
042E0118,0,04,2E,01,18,1.554,02,检索提取
040O0200,0,04,0O,02,00,8.418,04,值机接收
040O0211,0,04,0O,02,11,1.421,04,值机接收
040O0204,0,04,0O,02,04,8.779,04,值机接收
040O0280,0,04,0O,02,80,4.292,15,客票详情
040O0200,0,04,0O,02,00,3.373,04,值机接收
040O0285,0,04,0O,02,85,2.206,22,证件校验
042F0801,0,04,2F,08,01,2.561,22,证件校验
042F0801,0,04,2F,08,01,5.535,22,证件校验
042F0801,0,04,2F,08,01,4.825,22,证件校验
042F0801,0,04,2F,08,01,4.561,22,证件校验
040O0200,0,04,0O,02,00,4.128,04,值机接收
040O0212,0,04,0O,02,12,3.614,04,值机接收
040O0204,0,04,0O,02,04,6.19,04,值机接收
040O0238,0,04,0O,02,38,19.386,09,重打牌
040O0238,0,04,0O,02,38,0.569,09,重打牌
040O0280,0,04,0O,02,80,3.783,15,客票详情
040O0200,0,04,0O,02,00,3.603,04,值机接收
040O0238,0,04,0O,02,38,10.445,09,重打牌
040O0238,0,04,0O,02,38,0.55,09,重打牌
040O0238,0,04,0O,02,38,11.849,09,重打牌
040O0238,0,04,0O,02,38,0.63,09,重打牌
042E0121,0,04,2E,01,21,54.452,05,结束
042E0117,-1,04,2E,01,17,1.989,05,结束
042E0115,1,04,2E,01,15,7.745,02,检索提取
040O0200,0,04,0O,02,00,1.661,04,值机接收
040O0211,0,04,0O,02,11,0.647,04,值机接收
040O0204,0,04,0O,02,04,0.4,04,值机接收
042E0121,0,04,2E,01,21,7.885,05,结束
042E0117,-1,04,2E,01,17,0.333,05,结束
042E0102,1,04,2E,01,02,3.313,02,检索提取
042E0102,1,04,2E,01,02,13.061,02,检索提取
042E0117,-1,04,2E,01,17,7.183,05,结束
042E0117,-1,04,2E,01,17,0.351,05,结束
042E0117,-1,04,2E,01,17,0.22,05,结束
042E0115,1,04,2E,01,15,1.998,02,检索提取
042E0115,1,04,2E,01,15,5.224,02,检索提取
042E0118,0,04,2E,01,18,1.312,02,检索提取
040O0200,0,04,0O,02,00,2.909,04,值机接收
040O0211,0,04,0O,02,11,0.652,04,值机接收
040O0204,0,04,0O,02,04,0.468,04,值机接收
040O0212,0,04,0O,02,12,5.711,04,值机接收
040O0204,0,04,0O,02,04,0.765,04,值机接收
040O0204,0,04,0O,02,04,3.891,04,值机接收
040O0204,0,04,0O,02,04,0.306,04,值机接收
042E0121,0,04,2E,01,21,50.376,05,结束
042E0117,-1,04,2E,01,17,0.468,05,结束
042E0115,1,04,2E,01,15,43.789,02,检索提取
040O0200,0,04,0O,02,00,7.113,04,值机接收
040O0211,0,04,0O,02,11,0.55,04,值机接收
040O0204,0,04,0O,02,04,14.011,04,值机接收
040O0204,0,04,0O,02,04,0.298,04,值机接收
040O0238,0,04,0O,02,38,7.448,09,重打牌
040O0238,0,04,0O,02,38,0.52,09,重打牌
042E0121,0,04,2E,01,21,19.944,05,结束
042E0106,0,04,2E,01,06,0.894,10,旅客详情
042E0117,-1,04,2E,01,17,2.013,05,结束
042E0117,-1,04,2E,01,17,0.256,05,结束
042E0117,-1,04,2E,01,17,0.181,05,结束
042E0115,1,04,2E,01,15,25.031,02,检索提取
042E0146,0,04,2E,01,46,3.397,09,重打牌
042E0146,0,04,2E,01,46,0.535,09,重打牌
040O0200,0,04,0O,02,00,0.745,04,值机接收
040O0211,0,04,0O,02,11,0.437,04,值机接收
040O0212,0,04,0O,02,12,2.027,04,值机接收
040O0204,0,04,0O,02,04,4.179,04,值机接收
042E0121,0,04,2E,01,21,8.327,05,结束
042E0117,-1,04,2E,01,17,0.149,05,结束
042E0117,-1,04,2E,01,17,0.199,05,结束
042E0115,1,04,2E,01,15,9.322,02,检索提取
042E0146,0,04,2E,01,46,1.855,09,重打牌
042E0146,0,04,2E,01,46,0.476,09,重打牌
040O0200,0,04,0O,02,00,0.516,04,值机接收
040O0211,0,04,0O,02,11,0.467,04,值机接收
040O0204,0,04,0O,02,04,5.937,04,值机接收
042E0121,0,04,2E,01,21,20.74,05,结束
042E0117,-1,04,2E,01,17,0.778,05,结束
042E0117,-1,04,2E,01,17,0.366,05,结束
042E0115,1,04,2E,01,15,13.077,02,检索提取
040O0200,0,04,0O,02,00,1.675,04,值机接收
040O0211,0,04,0O,02,11,0.535,04,值机接收
040O0204,0,04,0O,02,04,8.975,04,值机接收
040O0204,0,04,0O,02,04,9.213,04,值机接收
042E0121,0,04,2E,01,21,38.338,05,结束
042E0117,-1,04,2E,01,17,0.268,05,结束
042E0115,1,04,2E,01,15,5.24,02,检索提取
040O0200,0,04,0O,02,00,1.306,04,值机接收
040O0211,0,04,0O,02,11,0.523,04,值机接收
040O0204,0,04,0O,02,04,4.615,04,值机接收
042E0121,0,04,2E,01,21,16.771,05,结束
042E0117,-1,04,2E,01,17,0.247,05,结束
042E0115,1,04,2E,01,15,21.283,02,检索提取
040O0200,0,04,0O,02,00,4.231,04,值机接收
040O0211,0,04,0O,02,11,0.565,04,值机接收
040O0204,0,04,0O,02,04,23.103,04,值机接收
040O0204,0,04,0O,02,04,30.105,04,值机接收
040O0204,0,04,0O,02,04,26.132,04,值机接收
040O0204,0,04,0O,02,04,0.393,04,值机接收
042E0121,0,04,2E,01,21,1.431,05,结束
042E0117,-1,04,2E,01,17,0.477,05,结束
042E0102,1,04,2E,01,02,24.551,02,检索提取
040O0200,0,04,0O,02,00,1.659,04,值机接收
040O0211,0,04,0O,02,11,0.472,04,值机接收
040O0204,0,04,0O,02,04,4.904,04,值机接收
042E0121,0,04,2E,01,21,10.844,05,结束
042E0117,-1,04,2E,01,17,2.435,05,结束
042E0117,-1,04,2E,01,17,0.483,05,结束
042E0115,1,04,2E,01,15,3.499,02,检索提取
040O0200,0,04,0O,02,00,1.349,04,值机接收
040O0211,0,04,0O,02,11,0.475,04,值机接收
040O0238,0,04,0O,02,38,0.645,09,重打牌
040O0238,0,04,0O,02,38,0.391,09,重打牌
040O0204,0,04,0O,02,04,10.025,04,值机接收
042E0121,0,04,2E,01,21,19.942,05,结束
042E0117,-1,04,2E,01,17,0.298,05,结束
042E0115,1,04,2E,01,15,6.76,02,检索提取
042E0115,1,04,2E,01,15,7.194,02,检索提取
042E0118,0,04,2E,01,18,1.503,02,检索提取
040O0200,0,04,0O,02,00,3.725,04,值机接收
040O0211,0,04,0O,02,11,0.43,04,值机接收
040O0204,0,04,0O,02,04,4.966,04,值机接收
