business_id,business_time,business_label,business_class,class_name,time_interval,time_splitting
01010102,2024-03-31 04:27:42.857,0,1,登录,0.0,b
042E0100,2024-03-31 04:27:48.710,0,2,检索提取,5.853,b
042E0115,2024-03-31 04:30:15.967,1,2,检索提取,27.257,s
042E0115,2024-03-31 04:30:32.959,1,2,检索提取,16.992,s
042E0118,2024-03-31 04:30:34.524,0,2,检索提取,1.565,b
042E0115,2024-03-31 04:30:48.118,1,2,检索提取,13.594,s
042E0118,2024-03-31 04:30:49.697,0,2,检索提取,1.579,b
042E0115,2024-03-31 04:30:59.570,1,2,检索提取,9.873,b
042E0118,2024-03-31 04:31:01.124,0,2,检索提取,1.554,b
040O0200,2024-03-31 04:31:09.542,0,4,值机接收,8.418,b
040O0211,2024-03-31 04:31:10.963,0,4,值机接收,1.421,b
040O0204,2024-03-31 04:31:19.742,0,4,值机接收,8.779,b
040O0280,2024-03-31 04:31:24.034,0,15,客票详情,4.292,b
040O0200,2024-03-31 04:31:27.407,0,4,值机接收,3.373,b
040O0285,2024-03-31 04:31:29.613,0,22,证件校验,2.206,b
042F0801,2024-03-31 04:31:32.174,0,22,证件校验,2.561,b
042F0801,2024-03-31 04:31:37.709,0,22,证件校验,5.535,b
042F0801,2024-03-31 04:31:42.534,0,22,证件校验,4.825,b
042F0801,2024-03-31 04:31:47.095,0,22,证件校验,4.561,b
040O0200,2024-03-31 04:31:51.223,0,4,值机接收,4.128,b
040O0212,2024-03-31 04:31:54.837,0,4,值机接收,3.614,b
040O0204,2024-03-31 04:32:01.027,0,4,值机接收,6.19,b
040O0238,2024-03-31 04:32:20.413,0,9,重打牌,19.386,s
040O0238,2024-03-31 04:32:20.982,0,9,重打牌,0.569,b
040O0280,2024-03-31 04:32:24.765,0,15,客票详情,3.783,b
040O0200,2024-03-31 04:32:28.368,0,4,值机接收,3.603,b
040O0238,2024-03-31 04:32:38.813,0,9,重打牌,10.445,s
040O0238,2024-03-31 04:32:39.363,0,9,重打牌,0.55,b
040O0238,2024-03-31 04:32:51.212,0,9,重打牌,11.849,s
040O0238,2024-03-31 04:32:51.842,0,9,重打牌,0.63,b
042E0121,2024-03-31 04:33:46.294,0,5,结束,54.452,s
042E0117,2024-03-31 04:33:48.283,-1,5,结束,1.989,b
042E0115,2024-03-31 04:33:56.028,1,2,检索提取,7.745,b
