路径编号,业务ID,业务组名称,路径编码
1,"042E0115
042E0185
042E0150
042E0121
042E0102
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
042E0117","检索提取
里程查询
航班详情
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
结束",BRT_0402
2,"042E0102
042E0102
042E0102
042E0102
042E0102
042E0151
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
结束",BRT_0401
3,"042E0102
042E0150
042E0121
042E0102
042E0102
042E0102
042E0117","检索提取
航班详情
返回
检索提取
检索提取
检索提取
结束",BRT_0401
4,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
5,"042E0102
042E0102
042E0102
042E0102
042E0142
040V0204
042E0121
042E0151
043L1202
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
座位锁放
座位锁放
返回
结束",BRT_0401
6,"042E0102
042E0118
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
结束",BRT_0401
7,"042E0115
040O0233
040O0211
040O020B
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
航班详情
下一步值机
返回
结束",BRT_0402
8,"042E0115
042E0150
042E0121
042E0115
042E0112
042E0118
042E0112
040O0233
040O0211
040O020B
042E0121
042E0112
040O0233
040O0211
040O0250
040O020B
040O0293
040O0200
042E0121
042E0117","检索提取
航班详情
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
检索提取
下一步值机
下一步值机
里程查询
选座接收
航班详情
下一步值机
返回
结束",BRT_0402
9,"042E0102
042E0118
042E0142
040V0204
040V0204
042E0121
042E0102
042E0102
042E0102
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
座位处理
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
结束",BRT_0401
10,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
11,"042E0102
042E0102
042E0102
042E0102
042E0151
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
座位锁放
返回
结束",BRT_0401
12,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
13,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
14,"042E0102
040O0240
042E0118
042E0142
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0100
042E0115
042E0115
042E0118
042E0185
042E0150
042E0121
042E0117","检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
里程查询
航班详情
返回
结束",BRT_0401
15,"042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0117","检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
结束",BRT_0401
16,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
17,"042E0102
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
结束",BRT_0401
18,"042E0102
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
结束",BRT_0401
19,"042E0102
042E0102
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
结束",BRT_0401
20,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
21,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
22,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
23,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
24,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
25,"042E0102
040O0240
042E0118
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
040O0240
040O0240
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
结束",BRT_0401
26,"042E0102
042E0118
042E0112
040O0240
042E0118
042E0142
040V0205
040V0204
042E0121
042E0102
040O0240
042E0118
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
结束",BRT_0401
27,"042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0117","检索提取
检索提取
座位处理
座位处理
返回
检索提取
结束",BRT_0401
28,"042E0102
042E0102
042E0102
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
结束",BRT_0401
29,"042E0102
042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
30,"042E0102
040O0240
042E0118
042E0142
040V0204
040V0204
042E0121
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
座位处理
座位处理
座位处理
返回
检索提取
检索提取
检索提取
结束",BRT_0401
31,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
