路径编号,业务ID,业务组名称,路径编码
1,"042E0115
042E0115
042E0118
042E0102
042E0102
042E0102
042E0142
040V0204
042E0121
042E0151
042E0121
042E0115
042E0115
162A0200
162A0200
162A0200
042E0102
042E0102
042E0102
042E0106
042E0112
042E0115
042E0118
042E0115
042E0118
042E0115
042E0115
042E0102
042E0102
042E0102
042E0151
042E0121
042E0151
042E0121
042E0115
042E0118
162A0200
16270103
042E0115
042E0118
042E0142
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
座位锁放
返回
检索提取
检索提取
None
None
None
检索提取
检索提取
检索提取
旅客详情
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位锁放
返回
检索提取
检索提取
None
None
检索提取
检索提取
座位处理
返回
结束",BRT_0402
2,"042E0102
040O0240
042E0112
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0112
042E0112
042E0142
040V0204
042E0121
042E0142
040V0204
042E0121
042E0102
042E0102
16280100
042E0102
042E0102
042E0102
040O0240
042E0112
042E0112
042E0115
042E0115
042E0115
042E0115
040O0240
042E0112
042E0142
042E0121
042E0151
042E0121
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0117","检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
座位处理
座位处理
返回
检索提取
检索提取
None
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
返回
座位锁放
返回
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
结束",BRT_0401
3,"042E0115
042E0151
042E0121
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0112
042E0151
042E0121
042E0115
042E0118
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
162A0200
162A0200
162A0200
162A0200
042E0102
042E0102
040O0240
042E0115
042E0115
042E0142
042E0121
042E0151
042E0121
042E0115
042E0115
042E0151
042E0121
042E0151
042E0121
042E0115
042E0115
042E0151
042E0121
042E0142
042E0121
042E0151
042E0121
042E0115
042E0118
042E0142
042E0121
042E0115
042E0115
042E0142
042E0121
042E0115
042E0115
162A0200
042E0115
042E0118
042E0117","检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
None
None
None
None
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
返回
座位锁放
返回
检索提取
检索提取
座位锁放
返回
座位锁放
返回
检索提取
检索提取
座位锁放
返回
座位处理
返回
座位锁放
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
None
检索提取
检索提取
结束",BRT_0402
4,"042E0115
042E0115
042E0118
042E0151
042E0121
042E0102
042E0102
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0118
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0118
042E0102
042E0118
042E0102
042E0118
042E0142
040V0204
040V0204
042E0121
042E0142
040V0204
042E0121
042E0102
042E0118
042E0112
042E0142
040V0204
042E0121
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0102
042E0118
042E0102
042E0102
042E0151
042E0121
042E0142
042E0121
042E0142
040V0204
042E0121
162A0200
042E0115
042E0115
042E0142
040V0204
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0151
042E0121
042E0151
042E0121
042E0115
042E0115
042E0142
042E0121
042E0180
undefined
042E0301
undefined
undefined
042E0115
042E0115
042E0142
042E0121
042E0301
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0301
042E0115
042E0115
042E0301
undefined
162A0200
042E0115
042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0151
042E0121
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0102
042E0102
042E0102
042E0151
042E0121
042E0151
042E0121
042E0115
042E0115
042E0142
042E0121
042E0115
042E0115
01010903","检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
座位处理
返回
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位处理
返回
座位处理
座位处理
返回
None
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位锁放
返回
检索提取
检索提取
座位处理
返回
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
检索提取
检索提取
座位处理
返回
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
检索提取
检索提取
已/未登机查询
已/未登机查询
None
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位锁放
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
结束",BRT_040I
5,"042E0115
042E0142
040V0204
040V0204
042E0121
042E0117","检索提取
座位处理
座位处理
座位处理
返回
结束",BRT_0402
6,"042E0102
042E0212
040O0240
042E0112
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
042E0118
042E0102
042E0118
042E0112
040O0240
042E0102
042E0102
042E0118
040O0240
042E0115
042E0115
042E0102
042E0102
040O0240
042E0102
042E0102
042E0115
042E0115
042E0121
042E0115
042E0115
042E0151
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
040O0240
042E0102
042E0102
042E0102
042E0102
040O0233
042E0121
040O0233
040O0211
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
16200600
16200601
16270100
16270102
16270102
16270102
01010916","检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
返回
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
返回
下一步值机
下一步值机
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
None
None
None
None
None
None
结束",BRT_0406
7,"042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
01010102
16270100
042E0100
042E0115
042E0115
042E0118
040O0233
040O0211
042E0121
042E0115
042E0115
040O0240
042E0102
042E0102
042E0151
042E0121
042E0102
042E0102
042E0102
040O0240
042E0102
040O0240
042E0112
042E0106
042E0151
042E0121
042E0102
040O0240
042E0112
042E0102
042E0102
040O0240
042E0106
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
登录
None
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
结束",BRT_0401
8,"042E0115
042E0115
042E0118
042E0142
042E0121
042E0115
042E0115
042E0115
042E0118
042E0151
042E0121
040P0600
01010916","检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位锁放
结束",BRT_0409
9,"042E0102
042E0102
040O0233
040O0211
040O0281
040O0200
040O0281
040V0204
040O0200
042E0121
042E0151
042E0121
042E0142
042E0121
042E0151
042E0121
042E0118
042E0118
042E0142
042E0121
042E0181
undefined
undefined
042E0102
042E0118
043L0201
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0118
042E0102
042E0102
042E0102
042E0102
040O0240
042E0102
040O0240
042E0115
042E0115
042E0115
042E0118
042E0115
042E0115
042E0115
042E0118
042E0115
042E0118
042E0106
042E0151
042E0121
042E0115
042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0240
042E0151
042E0121
042E0151
042E0121
042E0115
042E0118
042E0115
042E0115
042E0115
042E0118
042E0115
042E0118
042E0151
042E0121
042E0115
042E0118
042E0142
040V0204
042E0121
042E0115
042E0118
042E0115
042E0118
042E0115
042E0115
042E0142
040V0204
042E0121
042E0115
042E0115
042E0115
042E0118
042E0115
042E0115
040O0240
042E0115
042E0115
042E0115
042E0118
042E0142
042E0121
042E0115
042E0118
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0112
042E0142
040V0204
042E0121
042E0115
042E0115
042E0115
042E0118
042E0151
042E0121
042E0115
042E0115
162A0200
042E0115
042E0115
040O0240
042E0115
042E0115
042E0151
042E0121
042E0142
040V0204
042E0121
042E0102
042E0102
042E0151
042E0121
042E0102
042E0102
162A0200
16270103
162A0200
042E0115
042E0115
042E0115
042E0142
042E0121
042E0115
042E0115
042E0115
042E0118
042E0106
042E0151
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0118
042E0151
042E0121
042E0115
042E0115
042E0115
042E0118
042E0102
042E0102
042E0106
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0142
042E0121
042E0115
042E0115
042E0115
042E0115
042E0142
042E0121
042E0115
042E0115
042E0102
042E0102
042E0102
042E0118
042E0142
042E0121
042E0115
042E0115
042E0142
040V0204
042E0121
042E0115
042E0115
042E0142
040V0204
042E0121
042E0115
042E0118
042E0151
042E0121
042E0118
042E0112
040V0204
042E0121
042E0115
042E0118
042E0115
042E0118
042E0115
042E0115
042E0115
042E0118
042E0102
042E0102
042E0151
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0301
undefined
undefined
042E0301
040P0700
040P0700
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040V0204
042E0121
042E0102
042E0118
042E0112
042E0142
042E0121
042E0142
040V0204
042E0121
042E0115
042E0115
042E0151
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0118
042E0301
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
042E0102
042E0102
042E0151
042E0121
042E0102
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0106
042E0115
042E0115
042E0115
042E0118
042E0301
042E0301
042E0301
162A0200
162A0200
042E0115
042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0151
042E0121
042E0115
042E0115
042E0142
040V0204
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
040O0240
042E0115
042E0115
042E0115
042E0118
042E0142
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0115
042E0118
042E0115
042E0115
042E0142
040V0204
042E0121
042E0115
042E0115
042E0115
042E0115
042E0115
042E0118
042E0115
042E0118
042E0102
042E0102
042E0151
042E0121
042E0115
042E0115
042E0151
042E0121
042E0115
042E0115
042E0151
042E0121
042E0151
042E0121
042E0115
042E0115
042E0151
042E0301
undefined
042E0301
042E0121
042E0102
042E0102
042E0102
042E0118
042E0142
042E0121
040O0240
042E0142
040V0204
042E0121
042E0142
040V0204
042E0121
042E0301
undefined
undefined
undefined
undefined
undefined
undefined
undefined
042E0301
042E0302
undefined
042E0301
undefined
undefined
042E0301
undefined
undefined
undefined
042E0301
042E0102
042E0102
043L0201
040O0240
043L0201
042E0115
042E0115
042E0151
042E0121
042E0115
042E0118
042E0151
042E0121
042E0133
042E0151
042E0121
042E0151
042E0301
042E0301
undefined
undefined
undefined
undefined
042E0301
01010903","检索提取
检索提取
下一步值机
下一步值机
座位处理
下一步值机
座位处理
座位处理
下一步值机
返回
座位锁放
返回
座位处理
返回
座位锁放
返回
检索提取
检索提取
座位处理
返回
已/未登机查询
已/未登机查询
已/未登机查询
检索提取
检索提取
查询联系方式
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
None
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
座位处理
座位处理
返回
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
None
None
None
检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
检索提取
旅客详情
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
None
None
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
座位处理
返回
座位处理
座位处理
返回
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
检索提取
检索提取
检索提取
检索提取
已/未登机查询
已/未登机查询
已/未登机查询
None
None
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
座位锁放
返回
座位锁放
返回
检索提取
检索提取
座位锁放
已/未登机查询
已/未登机查询
已/未登机查询
返回
检索提取
检索提取
检索提取
检索提取
座位处理
返回
检索提取
座位处理
座位处理
返回
座位处理
座位处理
返回
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
检索提取
检索提取
查询联系方式
检索提取
查询联系方式
检索提取
检索提取
座位锁放
返回
检索提取
检索提取
座位锁放
返回
检索提取
座位锁放
返回
座位锁放
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
结束",BRT_040H
10,"042E0115
042E0151
042E0121
042E0142
042E0121
042E0151
042E0100
042E0102
042E0212
042E0102
042E0102
042E0118
042E0102
042E0118
042E0102
042E0102
042E0106
042E0102
042E0118
042E0102
042E0118
040O0240
042E0112
042E0102
042E0102
040O0240
042E0102
042E0102
042E0102
042E0102
042E0102
042E0118
042E0112
040P0600
01010916","检索提取
座位锁放
返回
座位处理
返回
座位锁放
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
结束",BRT_0409
