路径编号,业务ID,业务组名称,操作简称,路径编码
1,"16200100
01010917","业务信息查询入口
结束","FSD查询页面加载
重置当前页面",-
2,"042E0115
042E0185
042E0115
042E0118
042E0185
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
040O0211
040O020F
040O0293
040O0200
16200101
16200101
01010917","检索提取
里程查询
检索提取
检索提取
里程查询
检索提取
重打牌登机牌
重打牌登机牌
下一步值机
下一步值机
添加行李-旅客处理
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
业务信息查询
业务信息查询
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
FSD航班值机情况-查询按钮
FSD航班值机情况-查询按钮
重置当前页面",BRT_040A
3,"042E0115
042E0115
040O0233
040O0211
040O0293
040O0200
040O020B
040O0211
040O020F
040O0293
040O0200
01010917","检索提取
检索提取
下一步值机
下一步值机
航班详情入口
下一步值机
选座接收
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
航班详情按钮
值机页面加载
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
重置当前页面",BRT_040A
4,"042E0115
042E0117","检索提取
结束","旅客提取页签检索按钮
旅客检索清空按钮",BRT_0402
5,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
040O0293
040O0200
01010917","检索提取
重打牌登机牌
重打牌登机牌
下一步值机
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
重置当前页面",BRT_040A
6,"042E0115
042E0115
042E0118
042E0185
040O0233
040O0211
040O020E
01010917","检索提取
检索提取
检索提取
里程查询
下一步值机
下一步值机
修改座位
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
重置当前页面",BRT_040A
7,"042E0115
040O0233
040O0211
040O020F
040O0221
043L1201
040O0200
040O0293
040O0200
16200101
01010917","检索提取
下一步值机
下一步值机
添加行李-旅客处理
座位锁放入口
座位锁放入口
下一步值机
航班详情入口
下一步值机
业务信息查询
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
座位图/锁放按钮
座位锁放-座位与旅客控制
值机页面加载
航班详情按钮
值机页面加载
FSD航班值机情况-查询按钮
重置当前页面",BRT_040A
8,"042E0115
042E0185
040O0233
040O0211
040O020B
040O0211
040O020F
042E0121
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
040O0293
040O0200
040O0221
040O0200
040O0293
040O0200
040O0221
040P0701
040O0200
042E0121
042E0102
01010917","检索提取
里程查询
下一步值机
下一步值机
选座接收
下一步值机
添加行李-旅客处理
返回
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
座位锁放入口
下一步值机
航班详情入口
下一步值机
座位锁放入口
座位图旅客处理
下一步值机
返回
检索提取
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
从其他页面返回检索页刷新
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
座位图/锁放按钮
值机页面加载
航班详情按钮
值机页面加载
座位图/锁放按钮
座位与旅客控制-刷新
值机页面加载
从其他页面返回检索页刷新
旅客查询页签检索按钮
重置当前页面",BRT_040A
9,"042E0115
042E0185
042E0115
042E0118
042E0185
040O0233
040O0211
040O020B
040O0211
040O020F
nav","检索提取
里程查询
检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收
下一步值机
添加行李-旅客处理
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
关闭当前页面",BRT_040Other
10,"042E0115
042E0118
042E0185
042E0115
042E0118
042E0185
042E0115
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
01010917","检索提取
检索提取
里程查询
检索提取
检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
返回
检索提取
下一步值机
下一步值机
添加行李-旅客处理
返回
检索提取
下一步值机
下一步值机
添加行李-旅客处理
结束","旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
从其他页面返回检索页刷新
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
从其他页面返回检索页刷新
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
重置当前页面",BRT_040A
11,"042E0115
042E0106
040O0233
040O0211
040O020F
040O0238
040O0238
16200101
01010917","检索提取
旅客详情入口
下一步值机
下一步值机
添加行李-旅客处理
重打牌登机牌
重打牌登机牌
业务信息查询
结束","旅客提取页签检索按钮
旅客详情按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
重打登机牌按钮
重打登机牌按钮
FSD航班值机情况-查询按钮
重置当前页面",BRT_040A
12,"042E0115
042E0185
040O0233
040O0211
040O020F
040O020F
040O0293
040O0200
01010917","检索提取
里程查询
下一步值机
下一步值机
添加行李-旅客处理
添加行李-旅客处理
航班详情入口
下一步值机
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
重置当前页面",BRT_040A
13,"042E0115
042E0185
040O0233
040O0211
141R0100
16290102
040O0250
040O0293
040O0200
040O0250
042E0121
042E0146
042E0146
040O0233
040O0211
040O020F
040O0293
040O0200
040O0221
040O0200
01010917","检索提取
里程查询
下一步值机
下一步值机
客票查询入口
客票查询
里程查询
航班详情入口
下一步值机
里程查询
返回
重打牌登机牌
重打牌登机牌
下一步值机
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
座位锁放入口
下一步值机
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
客票查询页面加载
刷证件查询客票
里程查询按钮
航班详情按钮
值机页面加载
里程查询按钮
从其他页面返回检索页刷新
重打登机牌按钮
重打登机牌按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
座位图/锁放按钮
值机页面加载
重置当前页面",BRT_040A
14,"042E0115
042E0185
040O0233
040O0211
040O020F
040O0238
040O0238
040O0250
040O0221
040O0200
01010917","检索提取
里程查询
下一步值机
下一步值机
添加行李-旅客处理
重打牌登机牌
重打牌登机牌
里程查询
座位锁放入口
下一步值机
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
重打登机牌按钮
重打登机牌按钮
里程查询按钮
座位图/锁放按钮
值机页面加载
重置当前页面",BRT_040A
15,"042E0115
042E0185
040O0233
040O0211
040O020F
040O0238
040O0238
040O0270
040O0250
040O0293
040O0200
01010903","检索提取
里程查询
下一步值机
下一步值机
添加行李-旅客处理
重打牌登机牌
重打牌登机牌
旅客详情入口
里程查询
航班详情入口
下一步值机
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
重打登机牌按钮
重打登机牌按钮
旅客详情按钮
里程查询按钮
航班详情按钮
值机页面加载
用户注销按钮",BRT_040I
16,"042E0115
042E0185
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0250
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
下一步值机
添加行李-旅客处理
里程查询
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
点击座位图刷新
已值机旅客 ，不改座位，只加行李
里程查询按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
17,"042E0115
042E0185
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
选座接收
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
18,"042E0115
042E0150
042E0121
042E0185
042E0150
042E0121
16200100
16200101
042E0185
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
航班详情入口
返回
里程查询
航班详情入口
返回
业务信息查询入口
业务信息查询
里程查询
下一步值机
下一步值机
选座接收
返回
结束","旅客提取页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
里程查询按钮
航班详情按钮
从其他页面返回检索页刷新
FSD查询页面加载
FSD航班值机情况-查询按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
19,"042E0115
042E0115
042E0118
042E0185
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
里程查询
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
航班详情入口
下一步值机
值机接收
返回
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
20,"042E0115
040O0233
040O0211
040O0238
040O0238
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
21,"042E0115
042E0185
040O0233
040O0211
nav","检索提取
里程查询
下一步值机
下一步值机
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
关闭当前页面",BRT_040Other
22,"042E0115
042E0185
042E0115
042E0118
042E0185
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
040O0293
040O0200
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
里程查询
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
23,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
24,"042E0115
042E0117","检索提取
结束","旅客提取页签检索按钮
旅客检索清空按钮",BRT_0402
25,"042E0115
042E0185
040O0233
040O0211
040O020F
040O0293
040O0200
040O0264
040O0293
040O0200
042E0121
040O0240
042E0150
042E0121
042E0185
042E0118
042E0118
040O0233
040O0211
040O0250
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
值机接收
航班详情入口
下一步值机
返回
同行人提取
航班详情入口
返回
里程查询
检索提取
检索提取
下一步值机
下一步值机
里程查询
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
提取同行人按钮
航班详情按钮
从其他页面返回检索页刷新
里程查询按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
里程查询按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
26,"042E0115
042E0185
042E0115
042E0118
042E0118
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0293
040O0200
040O0210
040O0250
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
检索提取
里程查询
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
切换旅客列表
里程查询按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
27,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
28,"042E0115
042E0185
042E0115
042E0118
042E0118
040O0233
040O0211
040O020A
040O020A
040O0211
040O020F
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
值机接收
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
29,"042E0115
042E0185
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
040O0293
040O0200
040O0264
040O0293
040O0200
040O0210
040O0282
040T0101
040O0200
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
检索提取
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
值机接收
航班详情入口
下一步值机
检索提取
旅客升降舱入口
旅客升降舱
下一步值机
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
切换旅客列表
旅客升降舱按钮
升降舱-确定按钮
值机页面加载
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
30,"042E0115
042E0115
042E0118
042E0118
040O0233
040O0211
040O020F
040O0210
040O0211
040O020F
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
添加行李-旅客处理
检索提取
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
值机接收
返回
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
31,"042E0105
042E0117","办理历史
结束","查询办理历史按钮
旅客检索清空按钮",BRT_040L
32,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0185
042E0118
040O0233
040O0211
040O0238
040O0238
040O0210
040O0211
040O020F
040O0293
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
检索提取
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
