路径编号,业务ID,业务组名称,路径编码
1,"042E0200
042E0235
040O0211
040O020B
042E0200
042E0235
042E0200
042E0235
040O0211
040O0211
040O020B
042E0200
042E0235
042E0223","检索提取
检索提取
下一步值机
选座接收
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
检索提取
检索提取
结束",-
2,"042E0211
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
040O0211
040O020A
040O020A
040O0211
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
042E0200
042E0235
042E0200
042E0235
040O0211
040O0211
040O0211
040O020B
040O020B
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
值机接收
下一步值机
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
下一步值机
选座接收
选座接收
下一步值机
行李交运
检索提取
检索提取
结束",BRT_0403
3,"042E0200
042E0214
042E0235
040O0211
040O020D
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
选座接收加行李
检索提取
检索提取
结束",-
4,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0200
042E0235
042E0211
042E0235
040O0211
040O0210
040O0211
040O020B
040O020B
040O0210
040O020A
040O020A
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
042E0200
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
下一步值机
选座接收
选座接收
检索提取
值机接收
值机接收
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
检索提取
结束",-
5,"042E0200
042E0214
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
下一步值机
行李交运
检索提取
检索提取
结束",-
6,"042E0200
042E0214
042E0235
040O0211
040O0282
040T0111
040O0200
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
旅客升降舱
旅客升降舱
下一步值机
下一步值机
行李交运
检索提取
检索提取
结束",-
7,"042E0200
042E0235
040O0211
040O0282
040T0111
040O0200
040O0211
040O020F
042E0200
042E0235
042E0200
042E0214
042E0235
042E0200
042E0235
040O0211
040O0262
042E0200
042E0235
042E0212
042E0170
042E0200
042E0235
040O0211
040O0211
040O020B
040O0211
040O020D
040O020D
040O0211
042E0200
042E0235
042E0223","检索提取
检索提取
下一步值机
旅客升降舱
旅客升降舱
下一步值机
下一步值机
行李交运
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
检索提取
检索提取
检索提取
旅客升降舱
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
选座接收加行李
选座接收加行李
下一步值机
检索提取
检索提取
结束",-
8,"042E0200
042E0214
042E0235
042E0200
042E0235
040O0211
040O0212
040O020B
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
EDI联程值机
选座接收
检索提取
检索提取
结束",-
9,"042E0200
042E0214
042E0235
040O0211
040O020B
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
选座接收
检索提取
检索提取
结束",-
10,"042E0200
042E0105
042E0105
042E0223","检索提取
办理历史
办理历史
结束",-
11,"042E0212
042E0219
042E0219
040O0211
040O020F
042E0200
042E0223","检索提取
检索提取
检索提取
下一步值机
行李交运
检索提取
结束",BRT_0404
12,"042E0200
042E0235
040O0211
040O020D
042E0200
042E0235
042E0223","检索提取
检索提取
下一步值机
选座接收加行李
检索提取
检索提取
结束",-
13,"042E0200
042E0214
042E0235
040O0211
040O0238
040O0238
040O0211
040O020F
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
重打牌
重打牌
下一步值机
行李交运
行李交运
检索提取
检索提取
结束",-
14,"042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
040O0211
040O020C
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
接收加行李
检索提取
检索提取
结束",-
15,"042E0200
042E0214
042E0235
040O0211
040O0211
040O020D
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收加行李
检索提取
检索提取
结束",-
16,"042E0200
042E0214
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
下一步值机
行李交运
检索提取
检索提取
结束",-
17,"042E0200
042E0214
042E0235
040O0211
040O0282
040T0111
040O0200
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
旅客升降舱
旅客升降舱
下一步值机
检索提取
检索提取
结束",-
18,"042E0200
042E0213
162R0500
162R0501
01010916","检索提取
检索提取
值机员综合办理统计
值机员综合办理统计
结束",-
19,"042E0200
042E0214
042E0235
042E0146
042E0235
042E0146
042E0146
042E0235
042E0223","检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
重打牌
检索提取
结束",-
20,"042E0200
042E0214
042E0235
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
行李交运
检索提取
检索提取
结束",-
21,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
040O0211
040O0210
040O0210
040O0211
040O020A
040O020A
040O0211
040O0211
040O0238
040O0238
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
检索提取
下一步值机
值机接收
值机接收
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
检索提取
检索提取
结束",-
22,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
042E0100
042E0200
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
结束",-
