路径编号,业务ID,业务组名称,路径编码
1,"042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
040O0211
040O0211
040O020E
040O0211
040O020F
040O0288
040R0104
040O0200
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
修改座位
下一步值机
行李交运
行李交运
行李交运
下一步值机
下一步值机
行李交运
检索提取
检索提取
结束",-
2,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0200
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
040O0211
040O020F
040O020F
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
下一步值机
行李交运
行李交运
下一步值机
行李交运
检索提取
检索提取
结束",-
3,"042E0211
042E0211
042E0211
042E0214
042E0235
042E0211
042E0235
040O0211
040O020B
040O0211
040O020F
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
选座接收
下一步值机
行李交运
下一步值机
行李交运
检索提取
检索提取
结束",BRT_0403
4,"042E0219
042E0219
040O0211
042E0200
042E0212
042E0219
042E0219
040O0211
040O0210
040O0211
040O020B
040O020B
040O0262
040O020B
040O020B
040O0211
040O0262
040O0262
040O0293
040O0200
040O0221
040O0200
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
042E0200
042E0219
042E0235
042E0151
042E0200
042E0235
042E0223","检索提取
检索提取
下一步值机
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
下一步值机
选座接收
选座接收
值机接收
选座接收
选座接收
下一步值机
值机接收
值机接收
航班详情
下一步值机
座位锁放
下一步值机
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
检索提取
检索提取
检索提取
座位锁放
检索提取
检索提取
结束",-
5,"042E0200
042E0214
042E0235
040O0211
040O020F
040O0211
040O020F
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
下一步值机
行李交运
下一步值机
行李交运
行李交运
检索提取
检索提取
结束",-
6,"042E0211
042E0214
042E0235
040O0211
040O020A
040O0211
040O020F
042E0200
042E0223","检索提取
检索提取
检索提取
下一步值机
值机接收
下一步值机
行李交运
检索提取
结束",BRT_0403
7,"042E0200
042E0235
040O0211
040O0238
040O0238
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
下一步值机
重打牌
重打牌
下一步值机
行李交运
检索提取
检索提取
结束",-
8,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
下一步值机
行李交运
检索提取
检索提取
结束",-
9,"042E0211
042E0214
042E0235
042E0214
040O0211
040O0282
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0109
040T0111
040O0200
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
下一步值机
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
旅客升降舱
下一步值机
检索提取
检索提取
结束",BRT_0403
10,"042E0211
042E0214
042E0235
042E0100
042E0102
042E0102
042E0112
042E0106
042E0112
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
检索提取
下一步值机
行李交运
检索提取
检索提取
结束",BRT_0403
