路径编号,业务ID,业务组名称,路径编码
1,"042E0102
042E0102
042E0102
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0115
042E0118
042E0118
042E0118
040V0200
040V0204
042E0121
042E0102
042E0102
040O0240
042E0118
040V0200
040V0204
040V0204
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0118
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0102
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
01010903","检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
座位处理
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
结束",BRT_040H
2,"042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0118
042E0115
042E0118
042E0118
040O0238
040V0200
040V0204
042E0121
042E0118
042E0115
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0115
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
042E0121
040V0200
040V0204
042E0121
042E0118
042E0115
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
040P0200
042E0121
042E0102
042E0102
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
040V0204
042E0121
042E0118
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0102
042E0102
042E0102
042E0102
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0115
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
None
返回
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
航班详情
返回
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
结束",BRT_040H
3,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
4,"042E0102
042E0102
042E0102
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0118
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
结束",BRT_0401
5,"042E0115
040V0200
040V0204
042E0121
042E0117","检索提取
None
座位处理
返回
结束",BRT_0402
6,"042E0102
040P0200
042E0121
042E0102
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0102
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
042E0118
042E0118
042E0118
042E0117","检索提取
航班详情
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
7,"042E0115
040V0200
042E0121
042E0102
042E0118
042E0118
042E0118
040V0200
042E0121
042E0118
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0118
040V0200
040V0204
040V0204
042E0121
042E0102
042E0117","检索提取
None
返回
检索提取
检索提取
检索提取
检索提取
None
返回
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
None
座位处理
返回
检索提取
None
座位处理
座位处理
返回
检索提取
结束",BRT_0402
8,"042E0102
042E0106
040P0200
042E0121
01010903","检索提取
旅客详情
航班详情
返回
结束",BRT_040H
9,"042E0102
042E0102
042E0118
042E0106
042E0120
01010916","检索提取
检索提取
检索提取
旅客详情
None
结束",BRT_0406
10,"042E0102
042E0102
042E0102
042E0102
042E0118
042E0118
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0115
042E0118
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
042E0118
042E0118
040V0200
040V0204
042E0121
042E0115
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
042E0118
042E0118
040V0200
040V0204
040V0204
042E0121
042E0115
042E0118
040O0240
042E0118
040V0200
040V0204
042E0121
042E0102
042E0118
042E0118
042E0102
042E0102
042E0102
042E0102
042E0118
042E0106
042E0120
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
None
结束",BRT_0406
11,"042E0102
042E0102
042E0102
042E0102
042E0118
042E0118
040V0200
040V0204
042E0121
042E0106
042E0118
040V0200
040V0204
040V0204
042E0121
042E0118
040V0200
040V0204
042E0121
042E0102
042E0102
042E0102
042E0102
042E0118
042E0106
042E0120
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
None
座位处理
返回
旅客详情
检索提取
None
座位处理
座位处理
返回
检索提取
None
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
None
结束",BRT_0406
