路径编号,业务ID,业务组名称,路径编码
1,"042E0115
042E0185
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
3,"042E0115
040O0240
040O0233
040O0211
040O020F
042E0121
040O0233
040O0211
040O020F
040O020F
042E0121
16200800
16200801
01010916","检索提取
检索提取
下一步值机
下一步值机
行李交运
返回
下一步值机
下一步值机
行李交运
行李交运
返回
AV查询
AV查询
结束",BRT_0409
4,"042E0115
042E0146
042E0146
040O0240
042E0112
042E0185
042E0102
042E0106
040O0233
040O0211
042E0121
042E0118
042E0117","检索提取
重打牌
重打牌
检索提取
检索提取
里程查询
检索提取
旅客详情
下一步值机
下一步值机
返回
检索提取
结束",BRT_0402
5,"042E0115
042E0185
042E0146
042E0146
042E0151
042E0121
042E0102
042E0118
042E0118
042E0106
042E0146
042E0146
042E0117","检索提取
里程查询
重打牌
重打牌
座位锁放
返回
检索提取
检索提取
检索提取
旅客详情
重打牌
重打牌
结束",BRT_0402
6,"042E0115
040O0233
040O0211
040O020B
01010917","检索提取
下一步值机
下一步值机
选座接收
结束",BRT_040A
7,"042E0115
042E0185
040O0233
040O0211
040O0293
040O0200
040O020B
040O020E
040O020E
040O0293
040P0206
01010917","检索提取
里程查询
下一步值机
下一步值机
航班详情
下一步值机
选座接收
修改座位
修改座位
航班详情
座位锁放
结束",BRT_040A
8,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
9,"042E0115
040O0233
040O0211
040O020D
040O0293
040P0206
040P0200
040P0206
040P0200
040O0200
01010917","检索提取
下一步值机
下一步值机
选座接收加行李
航班详情
座位锁放
航班详情
座位锁放
航班详情
下一步值机
结束",BRT_040A
10,"042E0115
040O0233
040O0211
040O020B
040O020B
040O0211
040O020F
042E0121
042E0185
042E0115
042E0118
042E0185
040O0233
040O0211
040O020B
040O0293
040P0206
01010917","检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
行李交运
返回
里程查询
检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收
航班详情
座位锁放
结束",BRT_040A
