路径编号,业务ID,业务组名称,路径编码
1,"16200100
16200101
01010916","业务信息查询
业务信息查询
结束",BRT_0412
2,"042E0115
042E0115
042E0115
042E0118
040O0233
040O0211
nav","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
结束",BRT_040Other
3,"042E0115
042E0141
042E0121
042E0150
042E0121
040O0233
040O0211
040O0238
040O0238
040O0238
040O0212
040O020E
040O0212
040O020E
040O0211
040O020F
040O020F
040O0278
042F0202
040O0200
040O0270
040O0201
042E0121
042E0151
042E0121
042E0117","检索提取
客票详情
返回
航班详情
返回
下一步值机
下一步值机
重打牌
重打牌
重打牌
EDI联程值机
修改座位
EDI联程值机
修改座位
下一步值机
行李交运
行李交运
管理旅客备注
管理旅客备注
下一步值机
旅客详情
值机接收
返回
座位锁放
返回
结束",BRT_0402
4,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0238
040O0270
040O0270
042E0121
042E0117","检索提取
下一步值机
下一步值机
重打牌
重打牌
重打牌
旅客详情
旅客详情
返回
结束",BRT_0402
5,"042E0115
040O0233
040O0211
040O020F
040O020F
040O0201
042E0121
040O0240
042E0100
042E0115
040O0233
040O0211
040O0238
040O0238
040O0211
040O020F
040O0201
151X0100
151X0101
nav","检索提取
下一步值机
下一步值机
行李交运
行李交运
值机接收
返回
检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
下一步值机
行李交运
值机接收
公共信息查询
公共信息查询
结束",BRT_040Other
6,"042E0115
042E0106
042E0100
01010916","检索提取
旅客详情
检索提取
结束",BRT_0409
7,"042E0102
01010916","检索提取
结束",BRT_0406
8,"042E0102
042E0106
042E0117","检索提取
旅客详情
结束",BRT_0401
9,"042E0115
042E0112
042E0117","检索提取
检索提取
结束",BRT_0402
10,"042E0115
040O0233
040O0211
040O020F
040O0238
040O0238
040O0201
040O0202
040O0201
042E0121
01010916","检索提取
下一步值机
下一步值机
行李交运
重打牌
重打牌
值机接收
值机接收
值机接收
返回
结束",BRT_0409
11,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
040O0201
040O0202
042E0121
141R0100
16290102
01010916","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
值机接收
值机接收
返回
客票查询
客票查询
结束",BRT_0409
12,"042E0115
042E0106
043L0101
01010916","检索提取
旅客详情
旅客详情
结束",BRT_0409
13,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
040O0211
040O020A
040O020A
040O0211
042E0121
162R0500
162R0501
042E0151
01010916","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
下一步值机
值机接收
值机接收
下一步值机
返回
值机员综合办理统计
值机员综合办理统计
座位锁放
结束",BRT_0409
14,"042E0105
042E0105
042E0151
042E0121
01010916","办理历史
办理历史
座位锁放
返回
结束",BRT_040O
