路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0115
042E0185
042E0115
040O0233
040O0211
040O0264
040O0293
040O0200
040O0211
040O020D
040O0211
040O020F
040O0293
040O0200
040O0264
042E0121
042E0117","检索提取
里程查询
检索提取
下一步值机
下一步值机
值机接收
航班详情入口
下一步值机
下一步值机
选座接收加行李
下一步值机
添加行李-旅客处理
航班详情入口
下一步值机
值机接收
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
点击座位图刷新
未值机旅客值机，指定座位，加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
2,"042E0115
042E0185
040O0233
040O0211
040O020F
040O0264
040O0264
040O0264
040O0250
040O0270
040O0238
040O0264
042E0121
040O0240
042E0117","检索提取
里程查询
下一步值机
下一步值机
添加行李-旅客处理
值机接收
值机接收
值机接收
里程查询
旅客详情入口
重打牌登机牌
值机接收
返回
同行人提取
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
里程查询按钮
旅客详情按钮
重打登机牌按钮
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
提取同行人按钮
旅客检索清空按钮",BRT_0402
3,"042E0115
042E0185
040O0233
040O0211
040O0264
040O0293
040O0200
040O0211
040O020F
040O0264
040O0264
040O0264
040O0264
040O0264
040O0264
040O0264
040O0264
040O0264
040O0238
040O0238
040O0264
040O0270
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
值机接收
航班详情入口
下一步值机
下一步值机
添加行李-旅客处理
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
重打牌登机牌
重打牌登机牌
值机接收
旅客详情入口
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
点击座位图刷新
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
重打登机牌按钮
重打登机牌按钮
全舱座位图/当前舱位按钮
旅客详情按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
4,"042E0115
040O0233
040O0211
040O0264
040O0211
040O020B
040O0264
042E0121
042E0117","检索提取
下一步值机
下一步值机
值机接收
下一步值机
选座接收
值机接收
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
全舱座位图/当前舱位按钮
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
5,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0240
040O0233
040O0211
040O0211
040O020F
040O0264
040O0210
040O0211
040O020F
040O0264
040O0293
040O0200
040O0210
040O0270
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
同行人提取
下一步值机
下一步值机
下一步值机
添加行李-旅客处理
值机接收
检索提取
下一步值机
添加行李-旅客处理
值机接收
航班详情入口
下一步值机
检索提取
旅客详情入口
返回
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
提取同行人按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
点击座位图刷新
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
切换旅客列表
点击座位图刷新
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
切换旅客列表
旅客详情按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
6,"042E0115
042E0185
040O0233
040O0211
040O0264
040O020F
040O0264
040O0238
040O0238
040O0250
040O0264
042E0121
042E0117","检索提取
里程查询
下一步值机
下一步值机
值机接收
添加行李-旅客处理
值机接收
重打牌登机牌
重打牌登机牌
里程查询
值机接收
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
全舱座位图/当前舱位按钮
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
重打登机牌按钮
重打登机牌按钮
里程查询按钮
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
7,"042E0115
042E0115
042E0118
042E0185
042E0115
042E0118
040O0233
040O0211
040O020D
040O0264
040O0264
040O0264
042E0121
042E0117","检索提取
检索提取
检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
选座接收加行李
值机接收
值机接收
值机接收
返回
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客值机，指定座位，加行李
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
8,"042E0115
042E0115
042E0118
141R0100
16290102
01010916","检索提取
检索提取
检索提取
客票查询入口
客票查询
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
客票查询页面加载
刷证件查询客票
关闭当前页面",BRT_0409
9,"042E0115
141R0100
16290102
141R0100
01010916","检索提取
客票查询入口
客票查询
客票查询入口
结束","旅客提取页签检索按钮
客票查询页面加载
刷证件查询客票
客票查询页面加载
关闭当前页面",BRT_0409
10,"042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0210
040O0211
040O020C
040O0262
040O0262
040O0210
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0262
040O0211
040O020E
040O020E
01010915","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
下一步值机
接收加行李
值机接收
值机接收
检索提取
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
值机接收
下一步值机
修改座位
修改座位
结束","旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
切换旅客列表
点击座位图刷新
未值机旅客 值机，不指定座位，只加行李
旅客处理-刷新
旅客处理-刷新
切换旅客列表
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
旅客处理-刷新
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
已值机旅客 ， 只改座位，不加行李
关闭所有页面",BRT_0408
