路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0115
042E0117","检索提取
结束","旅客提取页签检索按钮
旅客检索清空按钮",BRT_0402
2,"042E0115
042E0146
042E0146
042E0185
042E0117","检索提取
重打牌登机牌
重打牌登机牌
里程查询
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
里程查询按钮
旅客检索清空按钮",BRT_0402
3,"042E0102
042E0118
042E0118
040O0240
042E0117","检索提取
检索提取
检索提取
同行人提取
结束","旅客查询页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
提取同行人按钮
旅客检索清空按钮",BRT_0401
4,"042E0102
042E0118
042E0150
042E0121
042E0117","检索提取
检索提取
航班详情入口
返回
结束","旅客查询页签检索按钮
序号输入框选中旅客
航班详情按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0401
5,"042E0115
042E0185
042E0115
042E0185
042E0118
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
042E0121
042E0118
042E0146
042E0146
042E0117","检索提取
里程查询
检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
返回
检索提取
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
里程查询按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
从其他页面返回检索页刷新
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
旅客检索清空按钮",BRT_0402
6,"042E0115
042E0185
042E0115
042E0118
040O0233
040O0211
040O020F
040O0211
040O020F
040O0293
040P0206
040P0200
040O0200
040O0293
040O0200
042E0121
042E0117","检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
添加行李-旅客处理
下一步值机
添加行李-旅客处理
航班详情入口
座位锁放入口
航班详情入口
下一步值机
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
航班详情按钮
座位图/锁放按钮
航班控制页面加载
值机页面加载
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
7,"042E0115
042E0185
042E0115
042E0118
042E0115
042E0185
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020E
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
01010917","检索提取
里程查询
检索提取
检索提取
检索提取
里程查询
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
修改座位
下一步值机
添加行李-旅客处理
下一步值机
添加行李-旅客处理
下一步值机
添加行李-旅客处理
下一步值机
添加行李-旅客处理
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
里程查询按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
重置当前页面",BRT_040A
8,"042E0115
040O0233
040O0211
040O020F
01010917","检索提取
下一步值机
下一步值机
添加行李-旅客处理
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
重置当前页面",BRT_040A
9,"042E0115
042E0185
040O0233
040O0211
040O020F
040O0250
01010917","检索提取
里程查询
下一步值机
下一步值机
添加行李-旅客处理
里程查询
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
里程查询按钮
重置当前页面",BRT_040A
10,"042E0115
042E0112
040O0233
040O0211
040O020B
040O0293
040O0200
040O020B
040O0211
040O020B
040O0211
040O020B
040O0211
040O020B
040O0211
040O020B
042E0121
01010903","检索提取
检索提取
下一步值机
下一步值机
选座接收
航班详情入口
下一步值机
选座接收
下一步值机
选座接收
下一步值机
选座接收
下一步值机
选座接收
下一步值机
选座接收
返回
结束","旅客提取页签检索按钮
列表切换旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
航班详情按钮
值机页面加载
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
用户注销按钮",BRT_040I
11,"042E0102
040O0233
040O0211
040O0211
040O0200
042E0121
042E0115
042E0112
042E0118
040O0233
040O0211
040O020B
040O0211
040O020B
01010917","检索提取
下一步值机
下一步值机
下一步值机
下一步值机
返回
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
选座接收
结束","旅客查询页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
点击座位图刷新
值机页面加载
从其他页面返回检索页刷新
旅客提取页签检索按钮
列表切换旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
重置当前页面",BRT_0407
12,"042E0115
042E0112
040O0233
040O0211
040O020A
040O0211
040O020B
01010917","检索提取
检索提取
下一步值机
下一步值机
值机接收
下一步值机
选座接收
结束","旅客提取页签检索按钮
列表切换旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，不指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
重置当前页面",BRT_040A
13,"042E0115
042E0112
042E0117","检索提取
检索提取
结束","旅客提取页签检索按钮
列表切换旅客
旅客检索清空按钮",BRT_0402
14,"042E0115
042E0112
042E0185
040O0233
040O0211
040O020B
040O0211
040O020B
040O0211
040O020F
040O0250
042E0121
042E0117","检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收
下一步值机
选座接收
下一步值机
添加行李-旅客处理
里程查询
返回
结束","旅客提取页签检索按钮
列表切换旅客
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
已值机旅客 ，不改座位，只加行李
里程查询按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
