路径编号,业务ID,业务组名称,路径编码
1,"042E0115
042E0115
042E0118
042E0185
040O0233
040O0211
040O020D
040O0264
040O0293
040O0200
040O0264
040O0293
040O0200
01010915","检索提取
检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收加行李
值机接收
航班详情
下一步值机
值机接收
航班详情
下一步值机
结束",BRT_0408
2,"042E0115
042E0185
042E0115
042E0118
042E0185
040O0233
040O0211
040O020D
042E0121
01010915","检索提取
里程查询
检索提取
检索提取
里程查询
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0408
3,"042E0115
040O0233
040O0211
040O0250
040O020B
042E0121
01010915","检索提取
下一步值机
下一步值机
里程查询
选座接收
返回
结束",BRT_0408
4,"042E0115
040O0233
040O0211
040O020D
01010915","检索提取
下一步值机
下一步值机
选座接收加行李
结束",BRT_0408
5,"042E0115
040O0233
040O0211
040O020F
040O0293
040O0200
01010915","检索提取
下一步值机
下一步值机
行李交运
航班详情
下一步值机
结束",BRT_0408
6,"042E0115
040O0233
040O0211
040O020F
042E0121
01010915","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0408
7,"042E0115
040O0233
040O0211
040O0250
040O020B
01010915","检索提取
下一步值机
下一步值机
里程查询
选座接收
结束",BRT_0408
8,"042E0115
040O0233
040O0211
040O020B
040O0264
040O0293
040O0200
01010915","检索提取
下一步值机
下一步值机
选座接收
值机接收
航班详情
下一步值机
结束",BRT_0408
9,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0210
040O0210
040O020B
040O020B
040O0211
042E0121
01010915","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
检索提取
选座接收
选座接收
下一步值机
返回
结束",BRT_0408
10,"042E0115
040O0233
040O0211
040O020F
040O0264
01010915","检索提取
下一步值机
下一步值机
行李交运
值机接收
结束",BRT_0408
11,"042E0115
042E0115
042E0118
042E0185
042E0112
042E0185
040O0233
040O0211
040O020E
040O020E
042E0121
01010915","检索提取
检索提取
检索提取
里程查询
检索提取
里程查询
下一步值机
下一步值机
修改座位
修改座位
返回
结束",BRT_0408
12,"042E0115
042E0185
042E0115
042E0118
040O0233
040O0211
040O020A
040O020A
040O0211
040O0264
040O0293
040O0200
040O0264
040O0264
042E0121
01010915","检索提取
里程查询
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
值机接收
航班详情
下一步值机
值机接收
值机接收
返回
结束",BRT_0408
13,"042E0115
01010915","检索提取
结束",BRT_0408
14,"042E0115
040O0233
040O0211
040O0250
042E0121
042E0115
040O0233
040O0211
040O020D
040O0210
040O020F
01010915","检索提取
下一步值机
下一步值机
里程查询
返回
检索提取
下一步值机
下一步值机
选座接收加行李
检索提取
行李交运
结束",BRT_0408
15,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
040O020D
040O0210
040O020F
042E0121
16200800
01010915","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收加行李
检索提取
行李交运
返回
AV查询
结束",BRT_0408
16,"042E0115
042E0185
040O0233
040O0211
040O020D
042E0121
01010915","检索提取
里程查询
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0408
17,"042E0115
040O0233
040O0211
040O020B
042E0121
01010915","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0408
18,"042E0115
042E0115
042E0118
040O0233
040O0211
040O0210
040O020B
040O020B
040O0211
040O0210
040O020B
040O020F
16200800
16200801
040O0210
040O020F
040O0264
040O0293
040O0200
042E0121
01010915","检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
选座接收
选座接收
下一步值机
检索提取
选座接收
行李交运
AV查询
AV查询
检索提取
行李交运
值机接收
航班详情
下一步值机
返回
结束",BRT_0408
