路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0102
042E0150
042E0121
042E0102
042E0102
042E0118
042E0118
042E0102
042E0102
042E0102
16200100
042E0102
042E0102
042E0151
042E0121
042E0150
042E0121
042E0102
042E0117","检索提取
航班详情入口
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
业务信息查询入口
检索提取
检索提取
座位锁放入口
返回
航班详情入口
返回
检索提取
结束","旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
FSD查询页面加载
旅客查询页签检索按钮
旅客查询页签检索按钮
座位图/锁放按钮
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客检索清空按钮",BRT_0401
2,"042E0102
042E0150
nav","检索提取
航班详情入口
结束","旅客查询页签检索按钮
航班详情按钮
关闭当前页面",BRT_040Other
3,"16200101
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
040O0233
040O0211
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0150
042E0121
042E0102
042E0102
042E0102
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0118
040O0233
040O0211
040O020B
040O020B
040O020B
042E0121
042E0102
042E0102
042E0102
042E0118
042E0146
042E0146
042E0102
042E0102
042E0102
042E0150
042E0155
040Q0105
040O0211
042E0102
042E0102
042E0102
042E0150
01010916","业务信息查询
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
航班详情入口
返回
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
选座接收
返回
检索提取
检索提取
检索提取
检索提取
重打牌登机牌
重打牌登机牌
检索提取
检索提取
检索提取
航班详情入口
添加无订座入口
添加无订座
下一步值机
检索提取
检索提取
检索提取
航班详情入口
结束","FSD航班值机情况-查询按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
重打登机牌按钮
重打登机牌按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
添加无订座按钮
无订座页面-添加按钮
点击座位图刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
关闭当前页面",-
4,"042E0115
042E0146
042E0146
042E0117","检索提取
重打牌登机牌
重打牌登机牌
结束","旅客提取页签检索按钮
重打登机牌按钮
重打登机牌按钮
旅客检索清空按钮",BRT_0402
5,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
6,"042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
结束","旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客检索清空按钮",BRT_0401
7,"042E0102
042E0117","检索提取
结束","旅客查询页签检索按钮
旅客检索清空按钮",BRT_0401
8,"042E0115
042E0138
042F0401
042E0121
nav","检索提取
管理特服入口
管理特服
返回
结束","旅客提取页签检索按钮
管理UM按钮
管理特服-确定按钮
从其他页面返回检索页刷新
关闭当前页面",BRT_040Other
9,"042E0115
040O0233
040O0211
040O020B
040O0211
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
下一步值机
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
10,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0112
040O0233
040O0211
040O020B
040O0221
043L1213
040O0200
042E0121
042E0146
042E0146
042E0146
042E0146
042E0146
042E0146
042E0146
042E0102
042E0118
nav","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
座位锁放入口
None
下一步值机
返回
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
重打牌登机牌
检索提取
检索提取
结束","旅客提取页签检索按钮
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
旅客提取页签检索按钮
序号输入框选中旅客
列表切换旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
座位图/锁放按钮
None
值机页面加载
从其他页面返回检索页刷新
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
旅客查询页签检索按钮
序号输入框选中旅客
关闭当前页面",BRT_040Other
11,"042E0102
042E0150
042E0121
01010910
040P0206
043L1213
042E0117","检索提取
航班详情入口
返回
框架公共功能
座位锁放入口
None
结束","旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
系统自动轮询登机办理定时刷新
座位图/锁放按钮
None
旅客检索清空按钮",BRT_0401
