路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0115
042E0185
040O0233
040O0211
040O020D
042E0121
01010915","检索提取
里程查询
下一步值机
下一步值机
选座接收加行李
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客值机，指定座位，加行李
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
2,"042E0115
040O0233
040O0211
040O020D
040O0264
040O0293
040O0200
042E0121
01010915","检索提取
下一步值机
下一步值机
选座接收加行李
值机接收
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客值机，指定座位，加行李
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
3,"042E0115
040O0233
040O0211
040O0238
040O0238
040O0238
040O020F
042E0121
01010915","检索提取
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
重打牌登机牌
添加行李-旅客处理
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
已值机旅客 ，不改座位，只加行李
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
4,"042E0115
040O0233
040O0211
040O020F
040O0264
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
添加行李-旅客处理
值机接收
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
5,"042E0115
042E0185
042E0115
042E0185
042E0118
040O0233
040O0211
040O020F
042E0121
042E0115
042E0118
040O0233
040O0211
042E0121
040O0233
040O0211
040O0238
040O0238
040O0238
040O0210
040O020F
040O0264
040O0293
040O0200
040O0210
040O020F
040O0264
042E0121
040P0600
01010915","检索提取
里程查询
检索提取
里程查询
检索提取
下一步值机
下一步值机
添加行李-旅客处理
返回
检索提取
检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
重打牌登机牌
重打牌登机牌
重打牌登机牌
检索提取
添加行李-旅客处理
值机接收
航班详情入口
下一步值机
检索提取
添加行李-旅客处理
值机接收
返回
座位锁放入口
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
里程查询按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
从其他页面返回检索页刷新
旅客提取页签检索按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
从其他页面返回检索页刷新
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
切换旅客列表
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
切换旅客列表
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
座位控制查询页面
关闭所有页面",BRT_0408
6,"042E0115
042E0185
040O0233
040O0211
040O020D
040O0264
040O0293
040O0200
01010915","检索提取
里程查询
下一步值机
下一步值机
选座接收加行李
值机接收
航班详情入口
下一步值机
结束","旅客提取页签检索按钮
里程查询按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客值机，指定座位，加行李
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
关闭所有页面",BRT_0408
7,"042E0115
042E0185
042E0115
042E0118
042E0185
042E0115
042E0185
042E0118
040O0233
040O0211
040O020F
040O0210
040O0210
040O0210
040O0210
040O0238
040O0238
040O0264
040O0270
040O0210
040O020F
040O0264
040O0210
040O020F
040O0293
040O0200
042E0121
01010915","检索提取
里程查询
检索提取
检索提取
里程查询
检索提取
里程查询
检索提取
下一步值机
下一步值机
添加行李-旅客处理
检索提取
检索提取
检索提取
检索提取
重打牌登机牌
重打牌登机牌
值机接收
旅客详情入口
检索提取
添加行李-旅客处理
值机接收
检索提取
添加行李-旅客处理
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
里程查询按钮
旅客提取页签检索按钮
序号输入框选中旅客
里程查询按钮
旅客提取页签检索按钮
里程查询按钮
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
切换旅客列表
切换旅客列表
切换旅客列表
重打登机牌按钮
重打登机牌按钮
全舱座位图/当前舱位按钮
旅客详情按钮
切换旅客列表
已值机旅客 ，不改座位，只加行李
全舱座位图/当前舱位按钮
切换旅客列表
已值机旅客 ，不改座位，只加行李
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
8,"042E0115
040O0233
040O0211
040O020F
040O0210
040O0238
040O0238
040O0238
042E0121
01010915","检索提取
下一步值机
下一步值机
添加行李-旅客处理
检索提取
重打牌登机牌
重打牌登机牌
重打牌登机牌
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ，不改座位，只加行李
切换旅客列表
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
9,"042E0115
040O0233
040O0211
040O0250
040O020F
040O0238
040O0238
040O0238
040O0264
040O0293
040O0200
042E0121
01010915","检索提取
下一步值机
下一步值机
里程查询
添加行李-旅客处理
重打牌登机牌
重打牌登机牌
重打牌登机牌
值机接收
航班详情入口
下一步值机
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
里程查询按钮
已值机旅客 ，不改座位，只加行李
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
全舱座位图/当前舱位按钮
航班详情按钮
值机页面加载
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
10,"042E0115
040O0233
040O0211
040O0250
040O0238
040O0238
040O0238
040O0264
042E0121
01010915","检索提取
下一步值机
下一步值机
里程查询
重打牌登机牌
重打牌登机牌
重打牌登机牌
值机接收
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
里程查询按钮
重打登机牌按钮
重打登机牌按钮
重打登机牌按钮
全舱座位图/当前舱位按钮
从其他页面返回检索页刷新
关闭所有页面",BRT_0408
