路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0102
042E0102
042E0102
042E0102
042E0102
042E0106
040P0200
042E0118
042E0102
042E0102
040P0200
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情入口
航班详情入口
检索提取
检索提取
检索提取
航班详情入口
结束","旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客详情按钮
航班控制页面加载
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
航班控制页面加载
用户注销按钮",BRT_040H
2,"042E0102
042E0102
042E0102
16230501
040V0200
040V0204
042E0118
01010903","检索提取
检索提取
检索提取
None
None
座位处理
检索提取
结束","旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
None
None
座位处理-确定按钮
序号输入框选中旅客
用户注销按钮",BRT_040H
3,"042E0102
040P0200
042E0118
040P0700
042E0118
042E0118
042E0112
042E0106
06120100
06120101
nav","检索提取
航班详情入口
检索提取
座位锁放入口
检索提取
检索提取
检索提取
旅客详情入口
已/未登机查询入口
已/未登机查询
结束","旅客查询页签检索按钮
航班控制页面加载
序号输入框选中旅客
座位与旅客控制页面
序号输入框选中旅客
序号输入框选中旅客
列表切换旅客
旅客详情按钮
已登机旅客页面加载
已/未登机旅客-查询按钮
关闭当前页面",BRT_040Other
4,"042E0102
040P0200
042E0118
040P0700
042E0118
040O0200
042E0118
042E0112
042E0106
nav","检索提取
航班详情入口
检索提取
座位锁放入口
检索提取
下一步值机
检索提取
检索提取
旅客详情入口
结束","旅客查询页签检索按钮
航班控制页面加载
序号输入框选中旅客
座位与旅客控制页面
序号输入框选中旅客
值机页面加载
序号输入框选中旅客
列表切换旅客
旅客详情按钮
关闭当前页面",BRT_040Other
5,"042E0102
042E0102
042E0102
042E0112
01010903","检索提取
检索提取
检索提取
检索提取
结束","旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
列表切换旅客
用户注销按钮",BRT_040H
6,"042E0200
042E0212
042E0212
040P0200
042E0200
042E0212
042E0112
042E0106
040V0200
040V0204
042E0200
042E0112
042E0212
042E0112
040V0200
040V0204
042E0200
16200100
16200101
042E0212
042E0212
042E0212
040P0200
042E0200
040Q0100
040Q0105
040Q0109
040Q0106
042F0400
042F0401
042F0401
040O0200
040O0233
042F0400
042F0402
040O0200
040Q0100
042E0212
042E0212
042E0212
042E0212
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
042E0106
01010903","检索提取
检索提取
检索提取
航班详情入口
检索提取
检索提取
检索提取
旅客详情入口
None
座位处理
检索提取
检索提取
检索提取
检索提取
None
座位处理
检索提取
业务信息查询入口
业务信息查询
检索提取
检索提取
检索提取
航班详情入口
检索提取
添加无订座入口
添加无订座
添加无订座
添加无订座
None
管理特服
管理特服
下一步值机
下一步值机
None
管理特服
下一步值机
添加无订座入口
检索提取
检索提取
检索提取
检索提取
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
旅客详情入口
结束","新旅客检索页面加载
航班模式检索操作
航班模式检索操作
航班控制页面加载
新旅客检索页面加载
航班模式检索操作
列表切换旅客
旅客详情按钮
None
座位处理-确定按钮
新旅客检索页面加载
列表切换旅客
航班模式检索操作
列表切换旅客
None
座位处理-确定按钮
新旅客检索页面加载
FSD查询页面加载
FSD航班值机情况-查询按钮
航班模式检索操作
航班模式检索操作
航班模式检索操作
航班控制页面加载
新旅客检索页面加载
添加无订座页面加载
无订座页面-添加按钮
添加无订座-所选客票中包含的航班信息与已输入的航班信息不一致，继续提取按钮
添加无订座-判断航班号、航班日期、姓名、舱位等不一致弹框，继续接收确定按钮
None
管理特服-确定按钮
管理特服-确定按钮
值机页面加载
旅客拉下按钮--实际没做拉下操作
None
管理特服-删除按钮
值机页面加载
添加无订座页面加载
航班模式检索操作
航班模式检索操作
航班模式检索操作
航班模式检索操作
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
旅客详情按钮
用户注销按钮",BRT_040V
7,"042E0102
042E0102
042E0106
042E0120
16240201
040O0200
042E0118
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0118
042E0102
040O0200
040O0204
040O0204
042E0118
042E0102
042E0102
042E0112
040O0240
042E0112
042E0112
042E0133
040P0700
01010903","检索提取
检索提取
旅客详情入口
None
None
下一步值机
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
值机接收
检索提取
检索提取
检索提取
检索提取
同行人提取
检索提取
检索提取
检索提取
座位锁放入口
结束","旅客查询页签检索按钮
旅客查询页签检索按钮
旅客详情按钮
None
None
值机页面加载
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客查询页签检索按钮
值机页面加载
旅客处理按钮--需拆分ID，不用了
旅客处理按钮--需拆分ID，不用了
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
列表切换旅客
提取同行人按钮
列表切换旅客
列表切换旅客
旅客查询-刷新
座位与旅客控制页面
用户注销按钮",BRT_040H
8,"042E0102
040P0200
042E0118
16200100
16200101
01010903","检索提取
航班详情入口
检索提取
业务信息查询入口
业务信息查询
结束","旅客查询页签检索按钮
航班控制页面加载
序号输入框选中旅客
FSD查询页面加载
FSD航班值机情况-查询按钮
用户注销按钮",BRT_040H
9,"042E0200
042E0200
042E0212
040P0200
042E0200
042E0212
040P0700
07161403
042E0200
042E0212
040Q0100
040Q0105
nav","检索提取
检索提取
检索提取
航班详情入口
检索提取
检索提取
座位锁放入口
座位锁放
检索提取
检索提取
添加无订座入口
添加无订座
结束","新旅客检索页面加载
新旅客检索页面加载
航班模式检索操作
航班控制页面加载
新旅客检索页面加载
航班模式检索操作
座位与旅客控制页面
座位属性更改按钮
新旅客检索页面加载
航班模式检索操作
添加无订座页面加载
无订座页面-添加按钮
关闭当前页面",BRT_040Other
10,"042E0102
040Q0100
040Q0105
040Q0103
040Q0105
040Q0103
040Q0105
040O0204
040O0210
040O0700
040O0703
042E0102
042E0112
042E0106
040O0240
042E0112
042E0112
042E0112
042E0112
042E0112
042E0102
040O0233
042E0102
042E0112
040O0233
042E0102
042E0112
040O0240
040O0700
040O0703
042E0118
042E0118
042E0102
042E0102
040O0240
042E0118
040O0200
040O0204
040O0204
040O0204
040O0233
042E0118
042E0102
042E0102
040P0700
07161403
07161401
07161401
042E0118
042E0102
042E0102
042E0102
042E0112
040P0700
042E0118
040P0200
042E0118
042E0212
042E0212
042E0212
042E0112
040O0240
042E0212
042E0212
042E0212
042E0102
042E0102
042E0102
042E0118
040O0200
040O0204
040O0204
042E0118
040O0233
16290100
01010903","检索提取
添加无订座入口
添加无订座
添加无订座
添加无订座
添加无订座
添加无订座
值机接收
检索提取
None
添加婴儿
检索提取
检索提取
旅客详情入口
同行人提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
检索提取
下一步值机
检索提取
检索提取
同行人提取
None
添加婴儿
检索提取
检索提取
检索提取
检索提取
同行人提取
检索提取
下一步值机
值机接收
值机接收
值机接收
下一步值机
检索提取
检索提取
检索提取
座位锁放入口
座位锁放
座位图旅客处理
座位图旅客处理
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放入口
检索提取
航班详情入口
检索提取
检索提取
检索提取
检索提取
检索提取
同行人提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
值机接收
检索提取
下一步值机
None
结束","旅客查询页签检索按钮
添加无订座页面加载
无订座页面-添加按钮
添加无订座-刷新按钮
无订座页面-添加按钮
添加无订座-刷新按钮
无订座页面-添加按钮
旅客处理按钮--需拆分ID，不用了
切换旅客列表
None
添加婴儿按钮
旅客查询页签检索按钮
列表切换旅客
旅客详情按钮
提取同行人按钮
列表切换旅客
列表切换旅客
列表切换旅客
列表切换旅客
列表切换旅客
旅客查询页签检索按钮
旅客拉下按钮--实际没做拉下操作
旅客查询页签检索按钮
列表切换旅客
旅客拉下按钮--实际没做拉下操作
旅客查询页签检索按钮
列表切换旅客
提取同行人按钮
None
添加婴儿按钮
序号输入框选中旅客
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
提取同行人按钮
序号输入框选中旅客
值机页面加载
旅客处理按钮--需拆分ID，不用了
旅客处理按钮--需拆分ID，不用了
旅客处理按钮--需拆分ID，不用了
旅客拉下按钮--实际没做拉下操作
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
座位与旅客控制页面
座位属性更改按钮
座位与旅客控制-刷新
座位与旅客控制-刷新
序号输入框选中旅客
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
列表切换旅客
座位与旅客控制页面
序号输入框选中旅客
航班控制页面加载
序号输入框选中旅客
航班模式检索操作
航班模式检索操作
航班模式检索操作
列表切换旅客
提取同行人按钮
航班模式检索操作
航班模式检索操作
航班模式检索操作
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
值机页面加载
旅客处理按钮--需拆分ID，不用了
旅客处理按钮--需拆分ID，不用了
序号输入框选中旅客
旅客拉下按钮--实际没做拉下操作
None
用户注销按钮",BRT_040H
