路径编号,业务ID,业务组名称,操作简称,路径编码
1,"042E0102
042E0150
042E0121
042E0102
042E0102
042E0102
042E0150
042E0102
042E0102
042E0102
042E0150
040P0206
040P0200
042E0121
042E0151
042E0121
042E0102
042E0118
042E0118
043L0202
040O0240
042E0118
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0142
040V0204
042E0121
042E0102
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
040V0204
042E0121
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
042E0142
040V0204
042E0121
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0133
042E0142
040V0204
040V0204
042E0121
042E0102
042E0102
043L0202
07161201
042E0150
040P0206
040P0200
043L0806
07161201
042E0121
042E0102
042E0102
042E0102
042E0150
042E0121
042E0151
042E0121
042E0150
042E0121
043L0202
042E0150
042E0121
043L0202
07161201
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0150
040P0206
040P0200
042E0121
042E0102
042E0102
040O0240
042E0118
042E0142
040V0204
042E0121
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
042E0106
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0102
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
042E0121
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
042E0121
042E0133
042E0150
040P0206
040P0200
043L0806
07161201
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0150
040P0206
040P0200
040P0206
040P0200
040P0206
040P0200
040P0206
040P0200
042E0121
042E0133
042E0150
042E0121
042E0102
042E0102
042E0102
042E0151
042E0121
042E0150
042E0121
042E0102
042E0102
042E0102
042E0102
042E0151
042E0121
042E0118
042E0106
042E0102
042E0102
042E0102
042E0133
042E0150
042E0121
042E0150
042E0121
042E0102
042E0102
042E0102
042E0150
043L0806
043L0806
07161201
042E0121
042E0150
042E0121
043L0202
042E0155
040Q0114
040Q0109
040Q0106
040O0211
040O0278
042F0202
040O0200
040Q0100
01010916","检索提取
航班详情入口
返回
检索提取
检索提取
检索提取
航班详情入口
检索提取
检索提取
检索提取
航班详情入口
座位锁放入口
航班详情入口
返回
座位锁放入口
返回
检索提取
检索提取
检索提取
GS限额
同行人提取
检索提取
检索提取
座位处理入口
座位处理
返回
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
座位处理入口
座位处理
返回
检索提取
检索提取
座位处理入口
座位处理
返回
检索提取
座位处理入口
座位处理
座位处理
返回
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
座位处理入口
座位处理
返回
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
座位处理入口
座位处理
座位处理
返回
检索提取
检索提取
GS限额
GS限额
航班详情入口
座位锁放入口
航班详情入口
GS限额
GS限额
返回
检索提取
检索提取
检索提取
航班详情入口
返回
座位锁放入口
返回
航班详情入口
返回
GS限额
航班详情入口
返回
GS限额
GS限额
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
航班详情入口
座位锁放入口
航班详情入口
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
旅客详情入口
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
同行人提取
检索提取
座位处理入口
座位处理
返回
检索提取
检索提取
座位处理入口
座位处理
返回
检索提取
座位处理入口
座位处理
返回
检索提取
座位处理入口
返回
座位处理入口
座位处理
返回
检索提取
座位处理入口
座位处理
返回
检索提取
航班详情入口
座位锁放入口
航班详情入口
GS限额
GS限额
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
航班详情入口
座位锁放入口
航班详情入口
座位锁放入口
航班详情入口
座位锁放入口
航班详情入口
座位锁放入口
航班详情入口
返回
检索提取
航班详情入口
返回
检索提取
检索提取
检索提取
座位锁放入口
返回
航班详情入口
返回
检索提取
检索提取
检索提取
检索提取
座位锁放入口
返回
检索提取
旅客详情入口
检索提取
检索提取
检索提取
检索提取
航班详情入口
返回
航班详情入口
返回
检索提取
检索提取
检索提取
航班详情入口
GS限额
GS限额
GS限额
返回
航班详情入口
返回
GS限额
添加无订座入口
添加无订座
添加无订座
添加无订座
下一步值机
管理旅客备注入口
管理旅客备注
下一步值机
添加无订座入口
结束","旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
座位图/锁放按钮
航班控制页面加载
从其他页面返回检索页刷新
座位图/锁放按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
GS限额按钮
提取同行人按钮
序号输入框选中旅客
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询-刷新
座位处理按钮
座位处理-确定按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
GS限额按钮
修改GS限额
航班详情按钮
座位图/锁放按钮
航班控制页面加载
GS限额按钮
修改GS限额
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
座位图/锁放按钮
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
GS限额按钮
航班详情按钮
从其他页面返回检索页刷新
GS限额按钮
修改GS限额
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
座位图/锁放按钮
航班控制页面加载
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
旅客详情按钮
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
座位处理按钮
从其他页面返回检索页刷新
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客查询-刷新
航班详情按钮
座位图/锁放按钮
航班控制页面加载
GS限额按钮
修改GS限额
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
座位图/锁放按钮
航班控制页面加载
座位图/锁放按钮
航班控制页面加载
座位图/锁放按钮
航班控制页面加载
座位图/锁放按钮
航班控制页面加载
从其他页面返回检索页刷新
旅客查询-刷新
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
座位图/锁放按钮
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
座位图/锁放按钮
从其他页面返回检索页刷新
序号输入框选中旅客
旅客详情按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询-刷新
航班详情按钮
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
GS限额按钮
GS限额按钮
修改GS限额
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
GS限额按钮
添加无订座按钮
添加无订座-座位图/锁放按钮
添加无订座-所选客票中包含的航班信息与已输入的航班信息不一致，继续提取按钮
添加无订座-判断航班号、航班日期、姓名、舱位等不一致弹框，继续接收确定按钮
点击座位图刷新
管理PSM按钮
确定按钮-备注页面
值机页面加载
添加无订座页面加载
关闭当前页面",BRT_0406
2,"042E0102
042E0102
042E0102
042E0151
042E0121
042E0133
042E0133
042E0102
042E0102
042E0102
042E0102
042E0151
042E0121
042E0150
042E0121
042E0133
042E0150
040P0206
040P0701
040P0200
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
042E0118
040O0240
042E0118
042E0170
040T0101
042E0121
042E0117","检索提取
检索提取
检索提取
座位锁放入口
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放入口
返回
航班详情入口
返回
检索提取
航班详情入口
座位锁放入口
座位图旅客处理
航班详情入口
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
同行人提取
检索提取
旅客升降舱入口
旅客升降舱
返回
结束","旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
座位图/锁放按钮
从其他页面返回检索页刷新
旅客查询-刷新
旅客查询-刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
座位图/锁放按钮
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
旅客查询-刷新
航班详情按钮
座位图/锁放按钮
座位与旅客控制-刷新
航班控制页面加载
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
序号输入框选中旅客
提取同行人按钮
序号输入框选中旅客
旅客升降舱按钮
升降舱-确定按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0401
3,"042E0102
042E0151
040P0701
043L1201
042E0121
042E0150
042E0121
042E0133
042E0151
042E0121
042E0118
042E0102
042E0117","检索提取
座位锁放入口
座位图旅客处理
座位锁放入口
返回
航班详情入口
返回
检索提取
座位锁放入口
返回
检索提取
检索提取
结束","旅客查询页签检索按钮
座位图/锁放按钮
座位与旅客控制-刷新
座位锁放-座位与旅客控制
从其他页面返回检索页刷新
航班详情按钮
从其他页面返回检索页刷新
旅客查询-刷新
座位图/锁放按钮
从其他页面返回检索页刷新
序号输入框选中旅客
旅客查询页签检索按钮
旅客检索清空按钮",BRT_0401
4,"042E0102
042E0151
042E0121
042E0118
042E0170
040T0101
042E0121
042E0102
042E0118
042E0106
042E0106
042E0150
040P0206
040P0200
042E0121
042E0151
042E0121
042E0102
042E0118
042E0118
042E0118
042E0102
040O0240
042E0102
042E0118
042E0170
040T0101
042E0121
01010903","检索提取
座位锁放入口
返回
检索提取
旅客升降舱入口
旅客升降舱
返回
检索提取
检索提取
旅客详情入口
旅客详情入口
航班详情入口
座位锁放入口
航班详情入口
返回
座位锁放入口
返回
检索提取
检索提取
检索提取
检索提取
检索提取
同行人提取
检索提取
检索提取
旅客升降舱入口
旅客升降舱
返回
结束","旅客查询页签检索按钮
座位图/锁放按钮
从其他页面返回检索页刷新
序号输入框选中旅客
旅客升降舱按钮
升降舱-确定按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
旅客详情按钮
旅客详情按钮
航班详情按钮
座位图/锁放按钮
航班控制页面加载
从其他页面返回检索页刷新
座位图/锁放按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
序号输入框选中旅客
序号输入框选中旅客
旅客查询页签检索按钮
提取同行人按钮
旅客查询页签检索按钮
序号输入框选中旅客
旅客升降舱按钮
升降舱-确定按钮
从其他页面返回检索页刷新
用户注销按钮",BRT_040H
5,"042E0115
040O0233
040O0211
040O020B
040O020B
040O0211
040O0262
042E0121
042E0102
042E0118
042E0106
040O0240
042E0118
042E0142
040V0204
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
值机接收
返回
检索提取
检索提取
旅客详情入口
同行人提取
检索提取
座位处理入口
座位处理
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
旅客处理-刷新
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
旅客详情按钮
提取同行人按钮
序号输入框选中旅客
座位处理按钮
座位处理-确定按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
6,"042E0115
040O0233
040O0211
040O020E
042E0121
042E0102
042E0118
042E0117","检索提取
下一步值机
下一步值机
修改座位
返回
检索提取
检索提取
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
已值机旅客 ， 只改座位，不加行李
从其他页面返回检索页刷新
旅客查询页签检索按钮
序号输入框选中旅客
旅客检索清空按钮",BRT_0402
7,"042E0115
040O0233
040O0211
040O020B
040O020B
040O0211
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
返回
结束","旅客提取页签检索按钮
旅客拉下按钮--实际没做拉下操作
点击座位图刷新
未值机旅客 值机，只指定座位，不加行李
未值机旅客 值机，只指定座位，不加行李
点击座位图刷新
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0402
8,"042E0102
042E0150
040P0206
040P0200
042E0121
042E0102
042E0102
042E0102
042E0150
042E0121
042E0117","检索提取
航班详情入口
座位锁放入口
航班详情入口
返回
检索提取
检索提取
检索提取
航班详情入口
返回
结束","旅客查询页签检索按钮
航班详情按钮
座位图/锁放按钮
航班控制页面加载
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客检索清空按钮",BRT_0401
9,"042E0102
042E0150
042E0121
042E0102
042E0102
042E0102
042E0150
042E0121
01010903","检索提取
航班详情入口
返回
检索提取
检索提取
检索提取
航班详情入口
返回
结束","旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
用户注销按钮",BRT_040H
10,"042E0102
042E0150
042E0121
042E0102
042E0102
042E0150
042E0121
042E0102
042E0102
042E0150
042E0121
042E0102
042E0102
042E0150
042E0121
042E0102
042E0102
042E0117","检索提取
航班详情入口
返回
检索提取
检索提取
航班详情入口
返回
检索提取
检索提取
航班详情入口
返回
检索提取
检索提取
航班详情入口
返回
检索提取
检索提取
结束","旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
航班详情按钮
从其他页面返回检索页刷新
旅客查询页签检索按钮
旅客查询页签检索按钮
旅客检索清空按钮",BRT_0401
