路径编号,业务ID,业务组名称,路径编码
1,"042E0102
040P0200
042E0118
042E0115
042E0115
040O0200
040O0204
16230501
042E0118
042E0117","检索提取
航班详情
检索提取
检索提取
检索提取
下一步值机
值机接收
None
检索提取
结束",BRT_0401
2,"042E0115
042E0115
042E0115
040O0238
040O0238
040P0700
042E0118
042E0117","检索提取
检索提取
检索提取
重打牌
重打牌
None
检索提取
结束",BRT_0402
3,"042E0115
040O0238
040O0238
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
4,"042E0115
040O0238
040O0238
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
5,"042E0115
040O0238
040O0238
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
6,"042E0115
040O0200
042E0118
040O0240
042E0117","检索提取
下一步值机
检索提取
检索提取
结束",BRT_0402
7,"042E0115
040O0200
040O0204
042E0118
042E0117","检索提取
下一步值机
值机接收
检索提取
结束",BRT_0402
8,"042E0115
042E0115
042E0118
042E0118
040O0200
040O0204
042E0118
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
检索提取
结束",BRT_0402
9,"042E0115
040O0200
040O0204
042E0118
042E0117","检索提取
下一步值机
值机接收
检索提取
结束",BRT_0402
10,"042E0115
040O0200
040O0204
042E0118
042E0117","检索提取
下一步值机
值机接收
检索提取
结束",BRT_0402
11,"042E0115
040O0238
040O0238
042E0117","检索提取
重打牌
重打牌
结束",BRT_0402
12,"042E0115
040O0200
042E0118
040O0240
042E0117","检索提取
下一步值机
检索提取
检索提取
结束",BRT_0402
13,"042E0115
042E0115
042E0118
042E0118
040O0200
040O0204
042E0118
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
检索提取
结束",BRT_0402
14,"042E0115
040O0200
040O0204
042E0118
042E0117","检索提取
下一步值机
值机接收
检索提取
结束",BRT_0402
15,"042E0115
040O0200
040O0204
042E0118
042E0115
042E0115
040O0200
040P0200
040O0200
040T0100
040T0111
040O0200
040P0200
040O0200
040O0262
042E0118
042E0133
040P0700
042E0118
040P0200
042E0118
162R0300
162R0301
nav","检索提取
下一步值机
值机接收
检索提取
检索提取
检索提取
下一步值机
航班详情
下一步值机
旅客升降舱
旅客升降舱
下一步值机
航班详情
下一步值机
值机接收
检索提取
检索提取
None
检索提取
航班详情
检索提取
值机员综合办理统计
值机员综合办理统计
结束",BRT_040Other
