路径编号,业务ID,业务组名称,路径编码
1,"042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
042E0200
042E0235
040O0211
040O0210
040O0270
040O0211
040O0211
040O020B
040O020B
040O0211
040O0211
040O020B
040O020B
040O0211
040O020E
040O0211
040O020E
040O0211
040O0210
040O0210
040O020A
040O020A
040O0211
040O0211
040O020A
040O020A
040O0211
040O0211
040O0211
040O020E
040O0211
040O020F
040O0211
040O020F
040O0211
040O0225
040O020F
040O0211
040O020F
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
040O0211
040O020F
040O0210
040O0211
040O020F
040O0211
040O020F
042E0200
042E0235
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
旅客详情
下一步值机
下一步值机
选座接收
选座接收
下一步值机
下一步值机
选座接收
选座接收
下一步值机
修改座位
下一步值机
修改座位
下一步值机
检索提取
检索提取
值机接收
值机接收
下一步值机
下一步值机
值机接收
值机接收
下一步值机
下一步值机
下一步值机
修改座位
下一步值机
行李交运
下一步值机
行李交运
下一步值机
值机接收
行李交运
下一步值机
行李交运
检索提取
下一步值机
行李交运
检索提取
下一步值机
行李交运
下一步值机
行李交运
检索提取
下一步值机
行李交运
下一步值机
行李交运
检索提取
检索提取
结束",BRT_040V
2,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
040O0211
040O020F
040O020F
040O020F
040O0211
040O020F
040O020F
040O0211
040O020F
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
下一步值机
行李交运
行李交运
行李交运
下一步值机
行李交运
行李交运
下一步值机
行李交运
行李交运
返回
结束",BRT_0402
3,"042E0115
042E0115
040O0233
040O0211
040O0210
040O0211
040O020E
040O0210
040O020B
040O020B
040O0211
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
检索提取
下一步值机
修改座位
检索提取
选座接收
选座接收
下一步值机
返回
结束",BRT_0402
4,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
042E0121
042E0118
040O0233
040O0211
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
检索提取
下一步值机
下一步值机
返回
结束",BRT_0402
5,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
6,"042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
行李交运
返回
结束",BRT_0402
7,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020A
040O020A
040O0211
040O0210
040O0211
040O020E
040O020E
040O0211
040O020F
040O0210
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
检索提取
下一步值机
修改座位
修改座位
下一步值机
行李交运
检索提取
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
8,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
040O0211
040O020B
040O020B
040O0211
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
下一步值机
选座接收
选座接收
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
9,"042E0115
042E0115
042E0118
040O0233
040O0211
040O0238
040O0238
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
重打牌
重打牌
返回
结束",BRT_0402
10,"042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
11,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
040O0225
040O020F
040O020F
040O0211
040O020F
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
值机接收
行李交运
行李交运
下一步值机
行李交运
行李交运
返回
结束",BRT_0402
12,"042E0115
042E0115
040O0233
040O0211
040O0238
040O0211
040O020F
040O020F
040O0225
040O0210
040O0211
040O020F
01010903","检索提取
检索提取
下一步值机
下一步值机
重打牌
下一步值机
行李交运
行李交运
值机接收
检索提取
下一步值机
行李交运
结束",BRT_040I
